Activity Name,Date,Sport Type,Distance (miles),Total Elevation Gain (ft),Difficulty Score
Cadillac Pathway,07/23/20,MountainBikeRide,10.97,825,6.09
Discovery Park,04/17/25,Ride,17.03,913,6.09
Morning Run,06/04/24,Run,6.09,0,6.09
Cadillac Pathway,11/24/21,MountainBikeRide,10.85,849,6.09
Evening Ride,05/02/24,Run,5.63,227,6.08
VASA ST,08/02/19,MountainBikeRide,13.12,385,6.07
Cadillac Pathway,06/03/20,MountainBikeRide,11.24,760,6.07
Cadillac Pathway,05/19/20,MountainBikeRide,10.91,827,6.06
Cadillac Pathway,07/04/19,MountainBikeRide,11.07,790,6.06
Cadillac Pathway,07/22/20,MountainBikeRide,10.92,816,6.05
Cadillac Pathway,06/05/20,MountainBikeRide,10.85,828,6.04
Cadillac Pathway,07/06/20,MountainBikeRide,10.89,814,6.04
Cadillac Pathway,08/08/20,MountainBikeRide,10.93,812,6.04
Shinjuku Garden + Japan National Stadium,05/14/25,Run,5.83,107,6.04
Evergreen,01/09/21,NordicSki,5.37,304,6.03
Burke-Gilman,07/13/25,Ride,20.71,427,6.03
Cadillac Pathway,06/27/20,MountainBikeRide,10.82,828,6.03
Cadillac Pathway,08/15/19,MountainBikeRide,11.02,788,6.03
Afternoon Run,02/18/24,Run,5.45,284,6.02
Rattlesnake Ledge,11/04/23,Hike,4.8,1186,6.02
Burke-Gilman,02/27/25,Ride,21.22,355,6.02
Cadillac Pathway,08/23/20,MountainBikeRide,10.73,834,6.01
Cadillac Pathway,08/07/19,MountainBikeRide,10.9,800,6.01
Cadillac Pathway,04/05/20,MountainBikeRide,10.88,801,6.0
Cadillac Pathway,07/13/20,MountainBikeRide,10.77,815,5.99
Cadillac Pathway,05/15/23,MountainBikeRide,10.92,785,5.99
Cadillac Pathway,04/03/20,MountainBikeRide,10.92,787,5.99
Lafayette,06/25/22,Ride,18.38,528,5.99
Cadillac Pathway,05/08/23,MountainBikeRide,10.89,780,5.97
Cadillac Pathway ,12/20/22,NordicSki,5.42,249,5.97
Cadillac Pathway,07/14/19,MountainBikeRide,10.91,775,5.96
Cadillac Pathway,04/08/20,MountainBikeRide,10.84,789,5.96
Cadillac Pathway,08/11/19,MountainBikeRide,10.83,788,5.95
Discovery Park,05/07/24,Ride,16.28,942,5.95
Both Lakes,06/11/25,Ride,20.15,417,5.92
Cadillac Pathway,05/05/21,MountainBikeRide,10.56,823,5.91
Skyline Trail,08/03/24,Hike,4.32,1105,5.88
Louisville,08/10/22,Ride,17.04,646,5.88
Hobart,05/07/21,GravelRide,13.4,684,5.88
Cadillac Pathway,08/03/19,MountainBikeRide,10.67,777,5.87
Emery,06/07/21,GravelRide,14.5,496,5.87
Delhi,11/07/21,Ride,17.27,747,5.86
Around Ann Arbor,06/20/21,Ride,17.94,659,5.85
Strawberry Point - Day 2,06/30/24,Hike,5.77,760,5.84
Cadillac Pathway,05/03/20,MountainBikeRide,10.85,729,5.84
Cadillac Pathway,05/09/20,MountainBikeRide,10.86,718,5.83
Cadillac Pathway,04/25/20,MountainBikeRide,10.86,717,5.83
Cadillac Pathway,10/14/19,MountainBikeRide,10.65,757,5.82
Lunch Run,06/15/25,Run,5.74,19,5.82
Cadillac Pathway,06/01/20,MountainBikeRide,10.88,714,5.82
Eden Prairie,07/13/23,Ride,17.68,663,5.79
Anemone Loop & Red Rocks,06/26/22,Hike,4.63,942,5.79
Golden Gardens,04/02/24,Ride,18.22,616,5.78
Both Lakes,07/08/20,Ride,20.38,319,5.77
Theo + Minneapolis,08/14/23,Ride,17.88,622,5.76
Both Lakes,08/07/20,Ride,20.27,320,5.76
Whitmore Lake,10/01/20,Ride,17.31,689,5.75
Whitmore Lake,07/17/21,Ride,17.52,659,5.74
Both Lakes,06/21/20,Ride,20.18,322,5.73
Dighton Finisher - CCC,06/11/20,Ride,15.08,948,5.71
Both Lakes,03/23/20,Ride,19.98,327,5.7
Superior,06/08/22,Ride,16.53,618,5.69
Both Lakes,04/02/20,Ride,19.92,333,5.69
Both Lakes,07/05/19,Ride,20.07,303,5.67
Ypsilanti,09/08/20,Ride,17.4,618,5.63
Both Lakes,11/26/20,Ride,20.14,262,5.61
Both Lakes,05/21/20,Ride,20.0,281,5.61
Morning Run,05/17/25,Run,5.39,109,5.61
Both Lakes,06/14/20,Ride,19.96,276,5.59
Golden Gardens,05/16/24,Ride,17.35,617,5.57
Both Lakes,12/25/23,Ride,19.92,251,5.53
Strawberry Point - Day 1,06/29/24,Hike,6.04,500,5.53
Both Lakes,05/16/22,Ride,19.9,252,5.52
Both Lakes,09/19/23,Ride,19.88,242,5.5
Black Canyon of the Gunnison,05/29/22,Hike,3.23,1226,5.5
Both Lakes,04/26/20,Ride,19.93,237,5.5
Morning Run,03/20/24,Run,5.05,218,5.49
Both Lakes ,05/05/20,Ride,19.96,215,5.46
County Line,07/05/20,Ride,15.95,692,5.42
Greenway,06/29/23,Ride,19.61,240,5.42
Golden Gardens,07/06/24,Ride,16.9,602,5.42
Afternoon Run,03/19/25,Run,4.95,228,5.41
County Line,06/15/20,Ride,15.54,709,5.34
WPT — County Line,04/27/25,Ride,15.5,701,5.31
Lake Cadillac + Mack Trail Hill Laps ,07/09/20,Ride,15.53,680,5.28
Olson Park,11/04/20,MountainBikeRide,10.45,531,5.28
Chicago Lakefront Trail,08/30/23,Ride,19.56,163,5.26
Greenway,07/26/23,Ride,19.03,226,5.25
Greenway,08/02/23,Ride,19.0,225,5.24
Cadillac Pathway,04/30/25,MountainBikeRide,10.69,442,5.21
Evening Run,11/03/24,Run,4.72,235,5.19
Afternoon Run,04/06/25,Run,5.01,84,5.18
Afternoon Run,10/16/24,Run,4.63,251,5.13
Green Lake,09/19/24,Ride,18.94,184,5.1
Green Lake,06/25/25,Ride,18.08,233,4.99
Redmond,05/30/24,Ride,13.97,746,4.98
Lake Mitchell,07/01/20,Ride,17.57,264,4.96
Mack Trail,12/30/21,NordicSki,4.89,10,4.95
Colorado National Monument,05/30/22,Hike,4.43,677,4.95
Evening Run,08/21/24,Run,4.56,177,4.91
Whitmore Lake,02/03/21,Ride,14.75,571,4.87
Lebanon Hills,07/04/23,MountainBikeRide,9.01,591,4.83
Both Lakes,09/28/19,Ride,16.91,280,4.83
Afternoon Run,11/26/19,Run,4.33,199,4.77
Snow Lake,10/07/23,Hike,6.33,0,4.75
Afternoon Run,09/26/24,Run,4.08,323,4.73
Afternoon Run,04/29/25,Run,4.23,208,4.68
Betasso Preserve,07/29/22,MountainBikeRide,6.76,806,4.65
Evening Run,08/02/24,Run,4.46,73,4.61
Morning Run,06/27/25,Run,4.3,146,4.59
Sleeping Bear Dunes,05/04/23,Hike,3.86,804,4.54
WPT - Overpass,07/24/19,Ride,14.32,458,4.53
Morning Run,04/19/25,Run,4.47,19,4.51
Delhi,12/10/21,Ride,13.88,496,4.5
Morning Run,06/17/25,Run,4.41,9,4.46
Green Lake,08/03/24,Ride,16.18,199,4.44
Green Lake,08/25/24,Ride,16.23,177,4.41
Green Lake,08/13/24,Ride,16.21,177,4.4
Cadillac Pathway ,12/25/22,NordicSki,4.11,129,4.4
Gallup Park Pathway,03/27/21,Ride,12.83,533,4.31
Afternoon Run,05/24/25,Run,4.19,40,4.3
Morning Run,10/09/23,Run,3.82,223,4.27
Barton Hills,09/29/20,Ride,11.17,717,4.26
Evening Run,07/17/24,Run,4.03,93,4.22
Evening Run,09/13/24,Run,4.12,20,4.19
Green Lake,07/23/25,Ride,14.81,246,4.19
Piestewa Peak,12/12/23,Hike,2.45,1135,4.18
Cadillac Pathway,07/28/19,MountainBikeRide,7.3,608,4.17
May's Point,06/26/22,Run,2.77,502,4.16
Morning Run,06/13/24,Run,4.08,19,4.15
Burke-Gilman,07/04/25,Ride,14.27,289,4.15
Cadillac Pathway,08/19/19,MountainBikeRide,7.19,608,4.13
Valmont,07/07/22,Ride,12.89,306,4.06
Afternoon Run,03/23/25,Run,3.46,242,3.94
Evening Run,04/16/25,Run,3.63,149,3.93
Evening Run,07/25/24,Run,3.7,76,3.85
Cadillac Pathway,12/31/20,NordicSki,3.39,197,3.81
Afternoon Run,12/30/24,Run,3.64,63,3.8
Icicle Gorge,09/28/24,Hike,4.24,240,3.77
Olson Park,09/12/19,MountainBikeRide,6.99,469,3.77
WPT - Overpass,03/19/20,Ride,11.57,421,3.76
WPT - Overpass,07/02/19,Ride,12.23,335,3.76
Black Creek Nature Sanctuary,01/14/21,Hike,4.05,342,3.75
Burke-Gilman,11/12/23,Ride,11.58,416,3.73
Evening Run,08/20/24,Run,3.29,219,3.73
Family Ride,08/12/20,Ride,12.08,338,3.72
Evening Run,06/28/24,Run,3.16,276,3.71
Burke-Gilman + Green Lake,07/10/24,Ride,12.05,349,3.71
WPT - Overpass,08/12/19,Ride,11.07,442,3.68
Old Spanish Trail - Grand Junction,05/30/22,Hike,3.63,344,3.62
Green Lake,08/22/24,Ride,12.99,177,3.6
Evening Run,10/05/24,Run,3.35,116,3.58
Golden Gardens,07/13/25,Ride,12.34,244,3.57
Cadillac Pathway,08/28/19,MountainBikeRide,6.21,508,3.52
Afternoon Run,05/28/25,Run,3.09,197,3.51
Green Lake,07/30/25,Run,3.39,19,3.43
Afternoon Run,12/16/19,Run,3.01,175,3.39
Night Run,12/10/19,Run,3.19,81,3.38
Heritage Trail,12/25/24,NordicSki,3.3,0,3.33
Evening Run,06/17/25,Run,3.25,21,3.32
ASME/SWE Fun Run 5k,10/20/20,Run,3.1,90,3.31
Evening Run,11/24/24,Run,2.92,193,3.31
Morning Run,09/09/24,Run,3.19,30,3.28
Cadillac Pathway,04/30/21,MountainBikeRide,5.51,500,3.23
Cadillac Pathway,07/31/19,MountainBikeRide,5.52,491,3.22
Lake Cadillac ,08/02/20,Ride,10.73,249,3.2
Lake Cadillac,04/16/20,Ride,10.31,294,3.19
Heritage Trail,12/24/24,NordicSki,3.13,0,3.16
Lake Cadillac,04/30/25,Ride,10.93,194,3.14
Lake Cadillac,07/07/19,Ride,10.61,230,3.14
Morning Run,06/19/25,Run,3.08,18,3.14
Afternoon Run,12/05/19,Run,2.85,128,3.13
Evening Run,06/07/24,Run,3.03,33,3.12
Lake Cadillac,05/12/20,Ride,10.81,194,3.11
Rialto Beach — ONP,03/21/24,Hike,3.9,87,3.1
Cadillac Pathway,08/08/20,MountainBikeRide,5.27,478,3.09
Cadillac Pathway,11/27/20,MountainBikeRide,5.35,461,3.09
Lake Cadillac ,07/21/19,Ride,10.47,213,3.07
Gallup Park Pathway,01/28/21,Ride,10.18,251,3.07
Lake Cadillac,07/26/20,Ride,10.3,226,3.05
Olson Park,09/12/19,MountainBikeRide,6.05,287,3.02
Lake Cadillac,03/26/20,Ride,10.18,221,3.02
Lake Cadillac,12/22/19,Ride,10.14,224,3.01
Lake Cadillac,07/18/20,Ride,10.28,198,2.99
Lake Cadillac,08/08/19,Ride,10.11,220,2.99
Commute,10/07/23,Ride,7.86,503,2.98
Lake Cadillac,07/29/19,Ride,10.15,205,2.97
Lake Cadillac,03/16/20,Ride,10.09,216,2.97
Cadillac Pathway ,12/29/22,NordicSki,2.88,27,2.96
Lake Cadillac,12/26/19,Ride,10.12,200,2.95
Lake Cadillac,08/23/19,Ride,10.02,205,2.93
Cedar Bend,10/10/19,MountainBikeRide,4.47,552,2.92
Lake Cadillac,05/24/20,Ride,10.02,197,2.92
Discovery Park,03/08/24,Hike,2.93,354,2.91
Discovery Park,04/26/24,Hike,2.8,358,2.82
Rifle Falls State Park,06/01/22,Hike,2.48,297,2.71
Sullivan’s Island,08/25/23,Ride,10.06,42,2.59
Commute,10/06/23,Ride,7.69,309,2.54
Heritage Trail,12/24/22,NordicSki,2.44,19,2.5
VASA ST w/ sis,05/29/20,MountainBikeRide,5.64,84,2.45
Cedar Bend,10/04/19,MountainBikeRide,3.54,495,2.43
Evening Run,08/23/24,Run,2.09,145,2.38
Afternoon Run,03/28/25,Run,2.06,118,2.3
Evening Run,08/27/24,Run,2.12,85,2.29
Afternoon Run,09/16/24,Run,2.21,16,2.26
Heritage Trail,12/23/24,Hike,2.91,25,2.25
Evening Run,07/20/24,Run,2.06,91,2.24
Evening Run,07/27/24,Run,2.01,111,2.23
Marymere Falls — ONP,03/22/24,Hike,2.1,301,2.2
Afternoon Hike,10/19/24,Hike,2.57,116,2.17
Family Ride,08/05/20,Ride,7.07,188,2.16
Afternoon Run,09/30/24,Run,2.01,64,2.14
Hoh Rainforest — ONP,03/21/24,Hike,2.53,112,2.14
Gallup Park Pathway,08/15/21,Ride,8.55,0,2.14
Ice Cream,05/16/20,Ride,6.92,176,2.1
Barton Hills,11/06/20,Ride,5.41,298,1.96
Afternoon Run,10/12/24,Run,1.84,58,1.96
Afternoon Hike,05/22/25,Hike,2.48,20,1.92
Afternoon Run,12/04/19,Run,1.47,176,1.84
Heritage Trail,12/25/21,Hike,2.35,20,1.81
Empire Bluff,05/27/25,Hike,1.83,197,1.79
Gratiot Lake Overlook,01/14/21,Hike,1.19,429,1.76
Mackinaw Trail,08/02/19,MountainBikeRide,3.1,185,1.62
Evening Run,12/09/19,Run,1.45,48,1.56
Afternoon Run,12/23/19,Run,1.49,0,1.5
Commute,12/08/23,Ride,4.05,207,1.42
Cadillac Pathway,04/27/25,MountainBikeRide,2.57,182,1.4
Pyramid Point,05/04/23,Hike,1.21,234,1.39
Pyramid Point,05/27/25,Hike,1.2,224,1.36
Commute,10/09/23,Ride,3.01,259,1.27
Commute,02/12/24,Ride,2.88,259,1.24
Commute,10/18/23,Ride,2.87,258,1.24
Commute,11/13/23,Ride,2.86,259,1.24
Commute,10/11/23,Ride,2.89,261,1.24
Commute,11/29/23,Ride,2.83,259,1.23
Commute,12/01/23,Ride,2.84,259,1.23
Commute,11/17/23,Ride,2.85,259,1.23
Commute,02/05/24,Ride,2.83,258,1.23
Commute,02/14/24,Ride,2.86,258,1.23
Commute,04/04/24,Ride,3.43,184,1.23
Commute,11/20/23,Ride,2.85,258,1.23
Commute,11/01/23,Ride,2.84,258,1.23
Commute,10/27/23,Ride,2.83,258,1.23
Commute,11/08/23,Ride,2.84,259,1.23
Commute,10/13/23,Ride,2.84,258,1.23
Commute,10/16/23,Ride,2.84,258,1.23
Commute,10/20/23,Ride,2.83,258,1.23
Commute,10/23/23,Ride,2.86,258,1.23
Commute,11/15/23,Ride,2.82,258,1.23
Commute,10/30/23,Ride,2.84,259,1.23
Commute,12/11/23,Ride,2.82,259,1.22
Commute,05/15/24,Ride,2.87,244,1.21
Commute,11/27/23,Ride,2.84,249,1.21
Commute,11/03/23,Ride,2.81,249,1.2
Commute,08/10/24,Ride,3.08,189,1.15
Commute,05/02/24,Ride,3.39,125,1.1
Commute,05/07/24,Ride,2.87,189,1.1
Commute,05/10/24,Ride,3.26,127,1.07
Commute,05/10/24,Ride,2.95,158,1.06
Arcadia Dunes,12/26/23,Hike,1.18,83,1.06
Commute,05/09/24,Ride,3.18,134,1.06
Commute,05/09/24,Ride,3.28,104,1.03
Commute,05/02/24,Ride,3.27,104,1.03
Commute,10/09/23,Ride,3.26,79,0.98
Commute,10/13/23,Ride,3.06,104,0.98
Baits Downhill,09/16/19,MountainBikeRide,1.18,248,0.97
Commute,11/27/23,Ride,3.05,104,0.97
Commute,01/10/24,Ride,3.08,102,0.97
Commute,11/29/23,Ride,3.06,103,0.97
Commute,12/08/23,Ride,3.03,100,0.96
Commute,10/25/23,Ride,2.47,168,0.96
Commute,10/27/23,Ride,2.96,103,0.95
Commute,10/25/23,Ride,2.94,103,0.95
Commute,11/08/23,Ride,2.98,104,0.95
Commute,12/11/23,Ride,3.06,93,0.95
Commute,11/13/23,Ride,2.97,103,0.95
Cross Country Ski,12/22/19,NordicSki,0.94,0,0.95
Commute,11/17/23,Ride,2.98,104,0.95
Commute,10/16/23,Ride,3.01,100,0.95
Commute,11/15/23,Ride,2.97,103,0.95
Commute,10/18/23,Ride,2.96,104,0.95
Commute,10/20/23,Ride,2.97,103,0.95
Commute,11/22/23,Ride,2.97,104,0.95
Commute,12/01/23,Ride,2.95,103,0.95
Commute,10/30/23,Ride,2.97,102,0.94
Commute,11/20/23,Ride,2.97,102,0.94
Commute,02/14/24,Ride,2.96,100,0.94
Commute,02/05/24,Ride,2.94,100,0.93
Commute,02/12/24,Ride,3.0,92,0.93
Commute,05/15/24,Ride,2.93,101,0.93
Commute,04/04/24,Ride,3.49,23,0.92
Commute,10/23/23,Ride,2.88,91,0.9
Commute,11/01/23,Ride,2.87,91,0.9
Commute,11/12/23,Ride,2.83,64,0.84
Commute,05/07/24,Ride,2.89,61,0.84
Sprint,08/17/19,Ride,2.14,133,0.81
Commute,08/10/24,Ride,2.44,21,0.65
Morning Hike,10/20/24,Hike,0.72,8,0.56
Commute,10/11/23,Ride,0.93,40,0.31
Indoor - Endurance - Home,12/24/20,Ride,0.0,0,0.0
Indoor - VO2 - NCRB,04/05/21,Ride,0.0,0,0.0
Indoor - SS - Home,01/08/21,Ride,0.0,0,0.0
Indoor - Endurance - Home,01/05/21,Ride,0.0,0,0.0
30 Min Endurance Peloton,12/24/21,Ride,0.0,0,0.0
Indoor - SS - NCRB,02/26/21,Ride,0.0,0,0.0
Indoor - Endurance - Home,01/04/21,Ride,0.0,0,0.0
Indoor - Endurance - Home,01/01/21,Ride,0.0,0,0.0
Indoor - Sprint - NCRB,04/20/21,Ride,0.0,0,0.0
Indoor - SS - NCRB,04/15/21,Ride,0.0,0,0.0
Indoor - SS - Home,12/30/20,Ride,0.0,0,0.0
Indoor - VO2 - NCRB,12/15/20,Ride,0.0,0,0.0
Indoor - Thresh - NCRB,03/04/21,Ride,0.0,0,0.0
Indoor - Endurance - NCRB,12/17/20,Ride,0.0,0,0.0
Indoor - Sprint - NCRB,03/29/21,Ride,0.0,0,0.0
Indoor - Sprint - Home,12/29/20,Ride,0.0,0,0.0
Ramp Test - CCRB,03/28/21,Ride,0.0,0,0.0
Masked FTP Test - NCRB,03/18/21,Ride,0.0,0,0.0
Indoor - SS - NCRB,03/15/21,Ride,0.0,0,0.0
Indoor - Endurance - CCRB,03/06/21,Ride,0.0,0,0.0
Indoor - Endurance - Home,12/25/20,Ride,0.0,0,0.0
Masked FTP Test - NCRB,02/08/21,Ride,0.0,0,0.0
Indoor VO2 - MCycling,02/04/22,Ride,0.0,0,0.0
45 Min Endurance Peloton,01/03/22,Ride,0.0,0,0.0
Indoor - Endurance - NCRB,01/19/21,Ride,0.0,0,0.0
Indoor - SS - NCRB,02/11/21,Ride,0.0,0,0.0
Indoor - Endurance - NCRB,02/13/21,Ride,0.0,0,0.0
Indoor - VO2 - NCRB,02/15/21,Ride,0.0,0,0.0
Indoor - SS - NCRB,03/02/21,Ride,0.0,0,0.0
Indoor - Endurance - NCRB,01/26/21,Ride,0.0,0,0.0
Indoor - SS - NCRB,01/25/21,Ride,0.0,0,0.0
Masked FTP Test - NCRB,12/07/20,Ride,0.0,0,0.0
Indoor - VO2 - NCRB,01/21/21,Ride,0.0,0,0.0
Indoor - SS - NCRB,02/16/21,Ride,0.0,0,0.0
Indoor - SS - CCRB,01/17/21,Ride,0.0,0,0.0
Indoor - Thresh - NCRB,02/24/21,Ride,0.0,0,0.0
Indoor - Thresh - NCRB,02/18/21,Ride,0.0,0,0.0
Indoor - Endurance - NCRB,02/20/21,Ride,0.0,0,0.0
Indoor - VO2 - NCRB,02/23/21,Ride,0.0,0,0.0
Indoor - VO2 - MCycling,02/16/22,Ride,0.0,0,0.0
Indoor - Endurance - Home,01/11/21,Ride,0.0,0,0.0
Indoor - VO2 - MCycling,02/10/22,Ride,0.0,0,0.0
Indoor - SS - NCRB,02/09/21,Ride,0.0,0,0.0
45 Min Power Zone Peloton,01/07/22,Ride,0.0,0,0.0
Indoor - VO2 - Home,01/10/21,Ride,0.0,0,0.0
Indoor - VO2 - NCRB,03/01/21,Ride,0.0,0,0.0
