Activity Name,Date,Sport Type,Distance (miles),Total Elevation Gain (ft),Difficulty Score
Tuesday Gravel Hills - AAVC,05/25/21,GravelRide,33.93,1153,13.73
Half Marathon with Jess,08/16/20,Run,13.35,136,13.73
Hamburg,11/20/20,Ride,42.38,1501,13.71
Skyline Trail — MRNP,09/24/23,Hike,9.72,2683,13.65
CONE-AZALIA,04/25/21,GravelRide,37.46,518,13.63
Sunshine Canyon,07/24/22,Ride,25.86,3056,13.57
TNR - Old Mission Peninsula,07/21/20,Ride,44.37,1179,13.56
Olson Park,05/22/21,MountainBikeRide,27.25,1273,13.55
Super Betasso,06/29/22,MountainBikeRide,21.17,2023,13.5
Gothic Basin - Foggy Lake,10/29/23,Hike,9.55,2888,13.49
Dirt Hammer,10/28/20,GravelRide,31.2,1473,13.45
Thursday Night Ride - AAVC,07/01/21,Ride,43.53,1225,13.44
Switzerland Trail,07/21/22,GravelRide,23.11,1950,13.44
Goat Lake,06/16/24,TrailRun,10.42,1592,13.33
Mount Washington,03/09/24,Hike,8.82,3152,13.29
Dirt Hammer,09/09/20,GravelRide,30.9,1408,13.22
Plymouth + Northville,09/11/20,Ride,41.85,1302,13.17
Granite Lake,07/05/25,TrailRun,9.27,2405,13.14
Ann Arbor Local Loop,08/26/20,MountainBikeRide,24.1,1680,13.1
Gallup Park Pathway,11/04/20,Run,12.49,293,13.08
NCT - Marilla + Red Bridge,08/03/20,MountainBikeRide,20.43,2391,13.06
Chicago Lakefront Path,09/10/24,Run,12.72,112,13.05
Old Mission Peninsula,09/12/23,Ride,41.71,1189,12.91
Wallace Lake,07/06/24,Hike,11.86,1927,12.86
Dirt (Mud) Hammer,07/11/21,GravelRide,29.94,1349,12.78
Chicago Lakefront Trail,08/22/23,Ride,48.19,306,12.76
West Ann Arbor,07/20/21,GravelRide,31.67,1051,12.76
Dirt Hammer,04/06/21,GravelRide,29.78,1334,12.7
Durand,07/01/23,Ride,28.6,2717,12.69
Dighton,05/31/25,Ride,36.01,1768,12.64
Twin Sisters,07/04/22,Hike,7.56,2449,12.63
The Dragon,11/28/20,MountainBikeRide,22.42,1725,12.52
Thursday Night Ride - AAVC,06/03/21,Ride,40.58,1130,12.5
Olallie & Talapus Lakes,07/11/25,TrailRun,9.82,1743,12.42
Tuesday Gravel Hills - AAVC,06/01/21,GravelRide,31.03,984,12.41
MSB,05/01/21,MountainBikeRide,23.38,1471,12.39
Dighton,06/01/23,Ride,36.18,1597,12.34
Lake Serene,11/05/23,Hike,9.12,2630,12.31
Thursday Night Ride - AAVC,06/10/21,Ride,41.03,964,12.29
South San Juan Island,07/26/25,Ride,31.91,2152,12.28
Cadillac Pathway ,01/02/21,NordicSki,10.48,836,12.25
South Lake Washington,06/23/24,Ride,36.26,1587,12.24
Cadillac Pathway ,05/18/23,MountainBikeRide,23.24,1394,12.19
Thursday Night Ride - AAVC,08/12/21,Ride,40.41,971,12.14
WPT - Ashton,05/16/23,Ride,42.33,732,12.14
Maple Grove,06/07/23,Ride,40.56,952,12.14
Dighton,06/28/20,Ride,33.26,1858,12.13
Olga Lake,05/31/23,GravelRide,28.4,1274,12.11
Thursday Night Ride - AAVC ,06/17/21,Ride,39.94,1005,12.1
Longs Peak Trailhead,08/17/22,Ride,20.48,2663,12.1
Cherry Hill,04/12/21,GravelRide,28.92,1176,12.09
Hamburg,05/26/23,Ride,37.3,1332,12.08
Thursday Night Ride - AAVC,07/29/21,Ride,39.95,997,12.08
Worden,05/28/21,GravelRide,30.22,927,12.02
Arcadia Dunes,07/14/20,MountainBikeRide,19.76,1985,11.97
Cadillac Pathway,05/11/20,MountainBikeRide,22.2,1484,11.94
Chicago Lakefront Path,06/18/25,Run,11.75,43,11.93
Redmond + North Lake Washington,05/18/24,Ride,36.14,1439,11.92
Dighton,05/03/21,Ride,31.37,1989,11.91
Cadillac Pathway,06/08/20,MountainBikeRide,22.0,1496,11.89
VASA,05/29/20,MountainBikeRide,24.38,960,11.76
DTE,06/15/21,MountainBikeRide,22.13,1384,11.71
Charleston,04/21/25,Run,11.26,218,11.7
Hamburg,03/25/21,Ride,35.95,1302,11.69
Hamburg,06/19/21,Ride,36.27,1231,11.62
Ann Arbor Local Loop,09/14/20,MountainBikeRide,21.47,1462,11.61
Meauwataka,05/26/25,Ride,38.34,952,11.59
Olga Lake,05/19/22,GravelRide,26.29,1287,11.43
DTE,04/27/21,MountainBikeRide,21.3,1404,11.42
Rocky Mountain National Park,06/02/22,Hike,8.52,1722,11.4
Grand Rounds,06/04/23,Ride,37.37,986,11.4
Meauwataka,04/24/20,Ride,38.28,861,11.38
Mercer Island,10/21/23,Ride,31.62,1678,11.27
DTE,07/14/21,MountainBikeRide,20.96,1385,11.24
Theo Wirth,06/12/23,MountainBikeRide,22.03,1148,11.19
VASA,09/03/24,MountainBikeRide,21.6,1224,11.18
Barton Hills,10/23/20,Ride,27.39,2122,11.18
Mercer Island,03/25/25,Ride,31.17,1685,11.16
VASA,06/22/20,MountainBikeRide,22.33,1068,11.15
County Line + Tustin,07/27/20,Ride,32.7,1417,11.09
Chicago Lakefront Path,06/23/25,Run,10.87,36,11.03
