type,elev_high,Sport Type,start_date,total_elevation_gain,Activity Name,distance,elev_low,start_latlng,City,State,Country,distance_score,elevation_score,difficulty_score_without_altitude,average_elevation,performance_capacity,Difficulty Score,Distance (miles),Total Elevation Gain (ft),Date
root='Ride',5446.850568,Ride,2025-06-28 15:17:15+00:00,1962.0,Chinook Pass + Crystal,91220.3,847.2,"(46.922065, -121.533926)",Enumclaw,Washington,US,14.17,12.87401616,27.044016159999998,4113.19,0.959,28.2,56.68,6437,06/28/25
root='Ride',5436.35188,Ride,2022-06-25 14:41:21+00:00,160.9,Lafayette,29586.0,1553.0,"(40.00830634497106, -105.25606096722186)",Boulder,Colorado,US,4.6,1.055774312,5.655774312,5265.75,0.944,5.99,18.38,528,06/25/22
root='Ride',5421.5881,Ride,2024-09-23 16:45:24+00:00,1773.6,Paradise + Stevens Canyon,92266.0,616.4,"(46.740067759528756, -121.90666182897985)",Eatonville,Washington,US,14.33,11.637795647999999,25.967795648,3721.95,0.959,27.08,57.33,5819,09/23/24
root='Ride',5331.6930839999995,Ride,2022-07-07 02:00:14+00:00,93.2,Valmont,20745.6,1574.2,"(40.008289413526654, -105.25620614178479)",Boulder,Colorado,US,3.22,0.611548576,3.8315485760000003,5248.2,0.944,4.06,12.89,306,07/07/22
root='Ride',5310.695708,MountainBikeRide,2022-06-26 00:56:31+00:00,127.6,Valmont Bike Park,26595.9,1588.5,"(40.008322, -105.256264)",Boulder,Colorado,US,6.61,0.837270368,7.447270368,5261.16,0.944,7.89,16.53,419,06/26/22
root='Ride',5310.3676239999995,MountainBikeRide,2022-07-09 01:48:42+00:00,191.4,Valmont Bike Park,20529.1,1588.5,"(40.009431, -105.258364)",Boulder,Colorado,US,5.1,1.255905552,6.355905551999999,5260.99,0.944,6.73,12.76,628,07/09/22
root='Ride',5310.3676239999995,MountainBikeRide,2022-07-14 00:00:47+00:00,139.9,Valmont Bike Park,22425.2,1588.5,"(40.00834, -105.256208)",Boulder,Colorado,US,5.57,0.9179790320000001,6.487979032,5260.99,0.944,6.87,13.93,459,07/14/22
root='Hike',5308.727204,Hike,2022-05-30 22:35:34+00:00,306.4,Arches National Park,8768.1,1314.0,"(38.68792542256415, -109.53903906047344)",Moab,Utah,US,4.09,2.0104987519999997,6.100498752,4809.88,0.944,6.46,5.45,1005,05/30/22
root='Ride',5219.488356,Ride,2024-06-30 23:43:34+00:00,1571.7,Hurricane Ridge,61638.7,34.5,"(48.111838130280375, -123.43652101233602)",Port Angeles,Washington,US,9.58,10.312992456,19.892992456,2666.34,0.972,20.47,38.3,5156,06/30/24
root='AlpineSki',5105.315124,AlpineSki,2025-04-09 15:57:53+00:00,8771.5,Mount Baker,71650.5,1108.3,"(48.861615, -121.654153)",Agassiz,British Columbia,CA,44.52,28.777888060000002,73.29788806,4370.74,0.959,76.43,44.52,28778,04/09/25
root='Hike',5073.81906,Hike,2024-07-28 14:56:55+00:00,628.9,Copper Creek - Day 2,12893.3,932.3,"(48.87991709634662, -121.48918035440147)",Agassiz,British Columbia,CA,6.01,4.126640552,10.136640552,4066.27,0.959,10.57,8.01,2063,07/28/24
root='Ride',5068.569716,Ride,2024-07-13 00:50:01+00:00,1127.9,Mount Baker,51926.3,558.8,"(48.909780057147145, -121.80225424468517)",Chilliwack,British Columbia,CA,8.07,7.400918872,15.470918872,3450.95,0.972,15.92,32.27,3700,07/13/24
root='Hike',4963.5828360000005,Hike,2023-10-29 15:46:11+00:00,880.4,Gothic Basin - Foggy Lake,15366.3,705.7,"(48.026324193924665, -121.44420515745878)",Darrington,Washington,US,7.16,5.7769030720000005,12.936903072,3639.44,0.959,13.49,9.55,2888,10/29/23
root='Hike',4909.120892,Hike,2022-05-30 01:23:10+00:00,104.9,Old Spanish Trail - Grand Junction,5849.7,1423.2,"(39.03465935960412, -108.52925417013466)",Orchard Mesa,Colorado,US,2.73,0.688320232,3.418320232,4789.21,0.944,3.62,3.63,344,05/30/22
root='Run',4814.960784,TrailRun,2024-05-26 15:26:23+00:00,1210.3,Mailbox Peak,12864.6,257.0,"(47.466487, -121.67377)",Tanner,Washington,US,6.99,7.941601304,14.931601304,2829.07,0.972,15.36,7.99,3971,05/26/24
root='Hike',4777.231124,Hike,2023-11-26 16:11:44+00:00,2271.5,Mt. Teneriffe + Mt. Si,27829.6,205.4,"(47.487775180488825, -121.72316101379693)",Tanner,Washington,US,14.05,14.90485612,28.954856120000002,2725.56,0.972,29.79,17.29,7452,11/26/23
root='Hike',4563.320356,Hike,2024-06-22 18:19:30+00:00,983.6,Johnston’s + Harry’s Ridge,27757.2,761.7,"(46.28639096394181, -122.27180032990873)",Morton,Washington,US,12.94,6.454068448,19.394068448,3531.17,0.959,20.22,17.25,3227,06/22/24
root='Hike',4399.934523999999,Hike,2024-11-07 17:05:44+00:00,629.4,Snow Lake,13445.1,947.7,"(47.444469, -121.423284)",Tanner,Washington,US,6.27,4.129921392,10.399921392,3754.59,0.959,10.84,8.35,2065,11/07/24
root='Hike',4354.3308480000005,Hike,2024-03-09 17:46:28+00:00,960.8,Mount Washington,14191.8,378.2,"(47.44162534363568, -121.67153561487794)",Tanner,Washington,US,6.61,6.304462144,12.914462144000002,2797.57,0.972,13.29,8.82,3152,03/09/24
root='Run',4220.472576,TrailRun,2025-07-11 22:43:00+00:00,531.2,Olallie & Talapus Lakes,15797.4,806.6,"(47.40134, -121.518228)",Tanner,Washington,US,8.59,3.4855644160000003,12.075564416,3433.4,0.972,12.42,9.82,1743,07/11/25
root='AlpineSki',3886.8111480000002,AlpineSki,2025-03-17 15:58:57+00:00,6275.3,Summit Central,54853.4,855.2,"(47.400571, -121.406966)",Tanner,Washington,US,34.08,20.588255252,54.668255251999994,3346.29,0.972,56.24,34.08,20588,03/17/25
root='Hike',3690.6169160000004,Hike,2023-10-15 16:35:31+00:00,595.8,Annette Lake,12119.0,583.7,"(47.39281467162073, -121.4744142908603)",Tanner,Washington,US,5.65,3.9094489439999998,9.559448944,2802.82,0.972,9.83,7.53,1955,10/15/23
root='Run',3171.916112,TrailRun,2024-06-16 22:43:11+00:00,485.3,Goat Lake,16777.3,573.7,"(48.05333370342851, -121.41300058923662)",Darrington,Washington,US,9.77,3.184383304,12.954383304,2527.07,0.972,13.33,10.42,1592,06/16/24
root='Run',3128.28094,TrailRun,2025-07-05 18:26:18+00:00,732.9,Granite Lake,14915.9,265.7,"(47.492217, -121.639864)",Tanner,Washington,US,8.11,4.809055271999999,12.919055271999998,2000.0,0.983,13.14,9.27,2405,07/05/25
root='Hike',2776.5748919999996,Hike,2024-09-28 21:10:16+00:00,73.1,Icicle Gorge,6830.5,804.5,"(47.60841800831258, -120.8942124992609)",Leavenworth,Washington,US,3.18,0.479658808,3.659658808,2708.01,0.972,3.77,4.24,240,09/28/24
root='Hike',2702.427908,Hike,2024-10-20 16:33:23+00:00,710.1,Mount Storm King,9359.9,177.9,"(48.058194033801556, -123.78772065974772)",Sooke,British Columbia,CA,4.36,4.6594489679999995,9.019448967999999,1643.04,0.983,9.18,5.82,2330,10/20/24
root='Hike',2575.131316,Hike,2023-11-05 17:24:35+00:00,801.6,Lake Serene,14672.0,180.3,"(47.809292916208506, -121.57360288314521)",Gold Bar,Washington,US,6.84,5.259842688,12.099842687999999,1583.33,0.983,12.31,9.12,2630,11/05/23
root='Hike',2563.648376,Hike,2023-11-24 18:05:51+00:00,421.5,Dirty Harry's Balcony,7478.8,400.4,"(47.43130898103118, -121.63241995498538)",Tanner,Washington,US,3.49,2.7657481200000005,6.255748120000001,1938.65,0.983,6.36,4.65,1383,11/24/23
root='Hike',2535.4331519999996,Hike,2023-12-12 21:41:21+00:00,345.8,Piestewa Peak,3945.2,431.8,"(33.53941264562309, -112.02330716885626)",Paradise Valley,Arizona,US,1.84,2.269028944,4.109028944,1976.05,0.983,4.18,2.45,1135,12/12/23
root='Hike',2429.46202,Hike,2024-05-19 16:40:16+00:00,427.6,Lake 22,10039.2,329.4,"(48.07803902775049, -121.74524053931236)",Granite Falls,Washington,US,4.68,2.8057743680000002,7.4857743679999995,1755.09,0.983,7.62,6.24,1403,05/19/24
root='Hike',2258.202172,Hike,2023-12-14 16:53:35+00:00,371.9,Pyrite Peak,12045.7,453.4,"(33.48177029751241, -112.55927078425884)",Buckeye,Arizona,US,5.61,2.440288792,8.050288792,1872.87,0.983,8.19,7.48,1220,12/14/23
root='Run',2213.5827480000003,TrailRun,2024-11-03 17:27:16+00:00,1118.0,Oyster Dome Loop,24335.7,37.9,"(48.608306, -122.433506)",Geneva,Washington,US,14.18,7.33595824,21.51595824,1168.96,0.992,21.69,15.12,3668,11/03/24
root='Hike',2062.664108,Hike,2023-11-04 22:02:08+00:00,361.4,Rattlesnake Ledge,7729.8,277.7,"(47.43402102962136, -121.7680695746094)",Riverbend,Washington,US,3.6,2.3713911519999997,5.971391152,1486.88,0.992,6.02,4.8,1186,11/04/23
root='Hike',1859.252028,Hike,2024-07-06 16:40:21+00:00,587.2,Wallace Lake,19092.1,69.5,"(47.86625121720135, -121.68027089908719)",Gold Bar,Washington,US,8.9,3.8530184960000002,12.753018496000001,1043.64,0.992,12.86,11.86,1927,07/06/24
root='Hike',1746.3911319999997,Hike,2024-03-22 17:17:35+00:00,483.6,Cascade Rock — ONP,10103.3,81.5,"(48.04126527160406, -123.59030068852007)",Port Angeles,Washington,US,4.71,3.173228448,7.8832284480000006,1006.89,0.992,7.95,6.28,1587,03/22/24
root='Ride',1741.469872,MountainBikeRide,2023-10-08 21:16:28+00:00,714.9,Raging River,19514.2,282.1,"(47.511203, -121.849652)",Snoqualmie,Washington,US,4.85,4.690945032,9.540945032,1333.5,0.992,9.62,12.13,2345,10/08/23
root='Ride',1699.47512,Ride,2022-05-13 14:22:35+00:00,560.0,Dighton,44369.2,378.0,"(44.21742335893214, -85.40816637687385)",Cadillac,Michigan,US,6.89,3.6745408,10.5645408,1469.82,0.992,10.65,27.57,1837,05/13/22
root='Ride',1698.490868,Ride,2019-08-06 20:51:11+00:00,470.2,Dighton,44454.1,376.8,"(44.217293, -85.407932)",Cadillac,Michigan,US,6.91,3.085301936,9.995301936,1467.36,0.992,10.08,27.62,1543,08/06/19
root='Ride',1697.8346999999999,Ride,2020-04-06 19:13:58+00:00,465.9,Dighton,44580.5,380.6,"(44.217583, -85.407836)",Cadillac,Michigan,US,6.93,3.057086712,9.987086712,1473.26,0.992,10.07,27.7,1529,04/06/20
root='Ride',1697.506616,Ride,2020-05-13 17:17:28+00:00,572.2,McBain + Dighton ,70185.1,352.4,"(44.217566, -85.408169)",Cadillac,Michigan,US,10.9,3.7545932960000004,14.654593296000002,1426.84,0.992,14.77,43.61,1877,05/13/20
root='Ride',1695.866196,Ride,2021-08-23 13:06:30+00:00,1806.9,Cadillac's Greatest Hits,177371.0,286.8,"(44.217477, -85.408168)",Cadillac,Michigan,US,27.55,11.856299592000001,39.406299592,1318.41,0.992,39.72,110.21,5928,08/23/21
root='Ride',1695.5381119999997,Ride,2023-05-10 20:54:13+00:00,468.0,Dighton,50584.1,363.9,"(44.2174063436687, -85.40817249566317)",Cadillac,Michigan,US,7.86,3.07086624,10.93086624,1444.72,0.992,11.02,31.43,1535,05/10/23
root='Ride',1695.5381119999997,Ride,2023-06-01 20:31:05+00:00,486.8,Dighton,58233.9,363.9,"(44.21755604445934, -85.40824742987752)",Cadillac,Michigan,US,9.05,3.194225824,12.244225824,1444.72,0.992,12.34,36.18,1597,06/01/23
root='Ride',1694.881944,Ride,2025-05-31 18:14:22+00:00,539.0,Dighton,57949.6,360.8,"(44.217537, -85.408232)",Cadillac,Michigan,US,9.0,3.53674552,12.53674552,1439.3,0.992,12.64,36.01,1768,05/31/25
root='Ride',1692.5853559999998,Ride,2021-05-03 19:51:36+00:00,606.1,Dighton,50482.4,376.5,"(44.217411, -85.408282)",Cadillac,Michigan,US,7.84,3.977034248,11.817034247999999,1463.91,0.992,11.91,31.37,1989,05/03/21
root='Ride',1691.929188,Ride,2020-06-28 12:32:52+00:00,566.2,Dighton,53526.9,380.7,"(44.217457, -85.408412)",Cadillac,Michigan,US,8.32,3.7152232160000005,12.035223216,1470.47,0.992,12.13,33.26,1858,06/28/20
root='Ride',1691.929188,Ride,2020-08-02 20:44:43+00:00,451.7,Dighton ,44631.6,363.7,"(44.217569, -85.408184)",Cadillac,Michigan,US,6.93,2.963910856,9.893910856,1442.59,0.992,9.97,27.73,1482,08/02/20
root='Ride',1691.929188,Ride,2020-06-11 22:56:12+00:00,288.9,Dighton Finisher - CCC,24269.8,389.1,"(44.075611, -85.365803)",Cadillac,Michigan,US,3.77,1.8956693519999999,5.665669352,1484.25,0.992,5.71,15.08,948,06/11/20
root='Ride',1691.929188,Ride,2020-08-20 20:41:55+00:00,798.8,Dighton + Lucas - CCC,79681.9,381.3,"(44.217556, -85.408233)",Cadillac,Michigan,US,12.38,5.241469983999999,17.621469984,1471.46,0.992,17.76,49.51,2621,08/20/20
root='Ride',1691.929188,Ride,2020-05-25 14:50:02+00:00,529.8,Dighton,44438.6,382.3,"(44.217578, -85.408122)",Cadillac,Michigan,US,6.9,3.4763780639999995,10.376378064,1473.1,0.992,10.46,27.61,1738,05/25/20
root='Hike',1572.178528,Hike,2023-05-22 14:53:55+00:00,543.0,Escarpment Trail,13787.7,297.0,"(46.81798140518367, -89.6948192641139)",Ontonagon,Michigan,US,6.43,3.5629922400000003,9.99299224,1273.29,0.992,10.07,8.57,1781,05/22/23
root='Ride',1540.026296,GravelRide,2020-08-21 14:25:40+00:00,661.5,The Divide,48494.4,344.0,"(44.410313, -85.400178)",Manton,Michigan,US,10.04,4.340551319999999,14.380551319999999,1334.32,0.992,14.5,30.13,2170,08/21/20
root='AlpineSki',1530.839944,AlpineSki,2024-12-24 15:06:24+00:00,2101.5,Caberfae,25696.4,358.3,"(44.244645, -85.719794)",Cadillac,Michigan,US,15.97,6.89468526,22.86468526,1353.18,0.992,23.05,15.97,6895,12/24/24
root='Ride',1527.23102,Ride,2022-05-24 17:48:14+00:00,290.1,Meauwataka,54890.5,391.9,"(44.21764723956585, -85.40830492973328)",Cadillac,Michigan,US,8.53,1.9035433680000002,10.433543367999999,1406.5,0.992,10.52,34.11,952,05/24/22
root='Ride',1523.95018,Ride,2025-05-26 19:36:04+00:00,290.1,Meauwataka,61705.0,392.0,"(44.217576, -85.40838)",Cadillac,Michigan,US,9.59,1.9035433680000002,11.493543368000001,1405.02,0.992,11.59,38.34,952,05/26/25
root='Ride',1523.95018,Ride,2023-05-09 15:00:54+00:00,292.1,Meauwataka ,54843.7,392.2,"(44.21747960150242, -85.40820962749422)",Cadillac,Michigan,US,8.52,1.9166667280000003,10.436666728,1405.35,0.992,10.52,34.08,958,05/09/23
root='Ride',1523.95018,Ride,2023-09-14 21:19:02+00:00,287.6,Meauwataka,55023.3,392.1,"(44.217526, -85.408142)",Cadillac,Michigan,US,8.55,1.8871391680000003,10.437139168000002,1405.18,0.992,10.52,34.19,944,09/14/23
root='Ride',1520.341256,MountainBikeRide,2020-06-08 17:28:59+00:00,456.1,Cadillac Pathway,35406.3,381.4,"(44.21758, -85.408262)",Cadillac,Michigan,US,8.8,2.992782248,11.792782248000002,1385.83,0.992,11.89,22.0,1496,06/08/20
root='Ride',1520.341256,Ride,2020-08-13 20:47:44+00:00,606.9,Falmouth - CCC,80687.7,351.7,"(44.24781, -85.399823)",Cadillac,Michigan,US,12.53,3.982283592,16.512283592,1337.11,0.992,16.65,50.14,1991,08/13/20
root='Ride',1518.372752,Ride,2020-04-24 19:22:42+00:00,262.4,Meauwataka,61610.8,391.7,"(44.217499, -85.40819)",Cadillac,Michigan,US,9.57,1.7217848319999998,11.291784832,1401.74,0.992,11.38,38.28,861,04/24/20
root='Ride',1512.46724,Ride,2020-07-28 12:46:17+00:00,1136.9,Manton + Ina,121497.0,332.8,"(44.217554, -85.408165)",Cadillac,Michigan,US,18.87,7.459973992,26.329973992,1302.17,0.992,26.54,75.49,3730,07/28/20
root='Ride',1512.46724,Ride,2020-06-04 20:43:25+00:00,400.5,Meauwataka - CCC,72632.5,391.7,"(44.217687, -85.408221)",Cadillac,Michigan,US,11.28,2.62795284,13.90795284,1398.79,0.992,14.02,45.13,1314,06/04/20
root='Ride',1509.514484,Ride,2024-09-17 17:54:33+00:00,600.5,Yakima Canyon,84795.3,346.8,"(46.92479828372598, -120.5094063654542)",Ellensburg,Washington,US,13.17,3.9402888400000005,17.11028884,1323.65,0.992,17.25,52.69,1970,09/17/24
root='Ride',1505.249392,Ride,2020-07-02 20:45:36+00:00,555.0,Lucas + McBain - CCC,66567.6,359.1,"(44.2175, -85.408177)",Cadillac,Michigan,US,10.34,3.6417324,13.9817324,1341.7,0.992,14.09,41.36,1821,07/02/20
root='Ride',1498.359628,Ride,2020-07-30 20:49:20+00:00,644.2,Manton - CCC,80546.5,332.8,"(44.217467, -85.408211)",Cadillac,Michigan,US,12.51,4.227034256,16.737034256,1295.11,0.992,16.87,50.05,2114,07/30/20
root='AlpineSki',1495.406872,AlpineSki,2024-12-19 16:09:59+00:00,1799.5,Caberfae,28335.2,358.4,"(44.244645, -85.720337)",Cadillac,Michigan,US,17.61,5.90387158,23.51387158,1335.63,0.992,23.7,17.61,5904,12/19/24
root='Ride',1493.766452,GravelRide,2020-07-31 16:57:42+00:00,428.9,County Line,37461.6,372.2,"(44.217506, -85.40825)",Cadillac,Michigan,US,7.76,2.8143045520000003,10.574304552000001,1357.45,0.992,10.66,23.28,1407,07/31/20
root='Ride',1489.829444,Ride,2023-09-26 15:31:02+00:00,1027.7,Cougar Mountain,65292.5,2.3,"(47.66396161168814, -122.30627124197781)",Seattle,Washington,US,10.14,6.743438536000001,16.883438536,748.69,0.992,17.02,40.57,3372,09/26/23
root='Ride',1485.2362679999999,Ride,2023-09-10 17:23:36+00:00,268.4,Three Lakes,54449.1,381.9,"(44.217475, -85.408207)",Cadillac,Michigan,US,8.46,1.7611549119999999,10.221154912000001,1369.09,0.992,10.3,33.83,881,09/10/23
root='Ride',1481.627344,GravelRide,2020-11-29 15:28:45+00:00,385.1,Tustin,33138.8,363.0,"(44.217541, -85.408193)",Cadillac,Michigan,US,6.86,2.5269029680000004,9.386902968000001,1336.29,0.992,9.46,20.59,1263,11/29/20
root='Ride',1481.627344,GravelRide,2021-05-07 17:45:04+00:00,208.4,Hobart,21566.6,372.6,"(44.217548, -85.408217)",Cadillac,Michigan,US,4.47,1.367454112,5.837454112,1352.03,0.992,5.88,13.4,684,05/07/21
root='Ride',1479.3307559999998,GravelRide,2022-05-10 19:55:00+00:00,420.3,Tustin,36974.9,363.6,"(44.217485, -85.408095)",Cadillac,Michigan,US,7.66,2.757874104,10.417874104,1336.12,0.992,10.5,22.98,1379,05/10/22
root='Ride',1463.582724,GravelRide,2020-08-10 14:33:49+00:00,339.7,Tustin,36466.2,362.6,"(44.217697, -85.408302)",Cadillac,Michigan,US,7.55,2.2290026960000002,9.779002696,1326.61,0.992,9.86,22.66,1115,08/10/20
root='Ride',1450.787448,MountainBikeRide,2025-04-28 19:19:36+00:00,315.5,Cadillac Pathway,27233.1,382.1,"(44.267129, -85.3776)",Cadillac,Michigan,US,6.77,2.07021004,8.840210039999999,1352.2,0.992,8.91,16.92,1035,04/28/25
root='Ride',1450.787448,MountainBikeRide,2025-04-25 18:18:51+00:00,235.3,Cadillac Pathway,27832.8,379.9,"(44.282563, -85.33549)",Cadillac,Michigan,US,6.92,1.543963304,8.463963304,1348.59,0.992,8.53,17.29,772,04/25/25
root='Ride',1450.787448,MountainBikeRide,2025-05-25 18:44:20+00:00,303.0,Cadillac Pathway,26054.6,380.4,"(44.282579, -85.335453)",Cadillac,Michigan,US,6.48,1.98818904,8.46818904,1349.41,0.992,8.54,16.19,994,05/25/25
root='Ride',1450.787448,MountainBikeRide,2025-05-22 14:36:28+00:00,236.1,Cadillac Pathway,27433.1,380.1,"(44.282599, -85.33541)",Cadillac,Michigan,US,6.82,1.549212648,8.369212648,1348.92,0.992,8.44,17.05,775,05/22/25
root='Ride',1450.13128,Ride,2020-07-09 20:32:14+00:00,207.2,Lake Cadillac + Mack Trail Hill Laps ,24999.0,391.6,"(44.217553, -85.4083)",Cadillac,Michigan,US,3.88,1.359580096,5.239580096,1367.45,0.992,5.28,15.53,680,07/09/20
root='Ride',1449.8031959999998,MountainBikeRide,2023-09-13 20:48:30+00:00,317.8,Cadillac Pathway,24007.2,381.8,"(44.26722661592066, -85.37767175585032)",Cadillac,Michigan,US,5.97,2.085301904,8.055301904,1351.21,0.992,8.12,14.92,1043,09/13/23
root='Ride',1449.8031959999998,MountainBikeRide,2023-09-08 20:18:15+00:00,239.7,Cadillac Pathway,24261.4,379.8,"(44.282857021316886, -85.33508305437863)",Cadillac,Michigan,US,6.03,1.572834696,7.602834696,1347.93,0.992,7.66,15.08,786,09/08/23
root='Ride',1449.8031959999998,MountainBikeRide,2022-05-07 14:40:17+00:00,255.5,Cadillac Pathway,17679.0,383.0,"(44.26732, -85.377599)",Cadillac,Michigan,US,4.39,1.6765092400000001,6.06650924,1353.18,0.992,6.12,10.99,838,05/07/22
root='Ride',1449.8031959999998,MountainBikeRide,2022-05-21 15:43:22+00:00,315.7,Cadillac Pathway,26112.0,383.0,"(44.267235, -85.377643)",Cadillac,Michigan,US,6.49,2.071522376,8.561522376,1353.18,0.992,8.63,16.23,1036,05/21/22
root='Ride',1449.8031959999998,MountainBikeRide,2022-05-12 23:07:04+00:00,260.2,Cadillac Pathway,17850.8,383.0,"(44.267252, -85.377253)",Cadillac,Michigan,US,4.44,1.707349136,6.147349136000001,1353.18,0.992,6.2,11.09,854,05/12/22
root='Ride',1449.475112,MountainBikeRide,2021-11-24 20:29:07+00:00,258.9,Cadillac Pathway,17456.4,382.2,"(44.267315, -85.377573)",Cadillac,Michigan,US,4.34,1.6988189519999999,6.038818952,1351.71,0.992,6.09,10.85,849,11/24/21
root='NordicSki',1449.1470279999999,NordicSki,2021-12-30 19:49:07+00:00,2.9,Mack Trail,7867.9,438.8,"(44.21852524392307, -85.4019727371633)",Cadillac,Michigan,US,4.89,0.019028872,4.9090288719999995,1444.39,0.992,4.95,4.89,10,12/30/21
root='Ride',1449.1470279999999,MountainBikeRide,2019-08-15 20:55:59+00:00,240.2,Cadillac Pathway,17732.8,379.7,"(44.267301, -85.377372)",Cadillac,Michigan,US,4.41,1.576115536,5.986115536,1347.44,0.992,6.03,11.02,788,08/15/19
root='Ride',1449.1470279999999,MountainBikeRide,2019-08-28 20:00:42+00:00,154.8,Cadillac Pathway,9998.0,403.9,"(44.267281, -85.377601)",Cadillac,Michigan,US,2.48,1.015748064,3.495748064,1387.14,0.992,3.52,6.21,508,08/28/19
root='Ride',1449.1470279999999,MountainBikeRide,2019-07-22 22:11:52+00:00,251.5,Cadillac Pathway,17913.4,379.7,"(44.267215, -85.37751)",Cadillac,Michigan,US,4.45,1.65026252,6.10026252,1347.44,0.992,6.15,11.13,825,07/22/19
root='Ride',1449.1470279999999,MountainBikeRide,2019-08-19 21:33:32+00:00,185.3,Cadillac Pathway,11578.8,404.0,"(44.267254, -85.378029)",Cadillac,Michigan,US,2.88,1.215879304,4.095879304,1387.3,0.992,4.13,7.19,608,08/19/19
root='Ride',1449.1470279999999,MountainBikeRide,2019-07-26 16:57:44+00:00,244.7,Cadillac Pathway,18011.6,379.7,"(44.267352, -85.377173)",Cadillac,Michigan,US,4.48,1.605643096,6.085643096,1347.44,0.992,6.13,11.19,803,07/26/19
root='Ride',1449.1470279999999,MountainBikeRide,2019-07-16 21:05:48+00:00,246.5,Cadillac Pathway,17955.2,379.7,"(44.26756, -85.377322)",Cadillac,Michigan,US,4.46,1.61745412,6.0774541200000005,1347.44,0.992,6.13,11.16,809,07/16/19
root='Ride',1449.1470279999999,MountainBikeRide,2019-07-28 15:31:18+00:00,185.4,Cadillac Pathway,11753.7,404.0,"(44.267206, -85.377886)",Cadillac,Michigan,US,2.92,1.2165354720000001,4.136535472,1387.3,0.992,4.17,7.3,608,07/28/19
root='Ride',1449.1470279999999,MountainBikeRide,2019-07-04 16:04:28+00:00,240.8,Cadillac Pathway,17814.8,379.7,"(44.267211, -85.377474)",Cadillac,Michigan,US,4.43,1.5800525440000002,6.010052544,1347.44,0.992,6.06,11.07,790,07/04/19
root='Ride',1449.1470279999999,MountainBikeRide,2019-07-30 21:54:25+00:00,243.6,Cadillac Pathway,17944.7,379.7,"(44.267268, -85.377111)",Cadillac,Michigan,US,4.46,1.598425248,6.058425248,1347.44,0.992,6.11,11.15,799,07/30/19
root='Ride',1449.1470279999999,MountainBikeRide,2019-08-11 22:52:41+00:00,240.3,Cadillac Pathway,17427.2,379.7,"(44.267273, -85.377467)",Cadillac,Michigan,US,4.33,1.576771704,5.9067717040000005,1347.44,0.992,5.95,10.83,788,08/11/19
root='Ride',1449.1470279999999,MountainBikeRide,2019-08-03 22:01:43+00:00,236.7,Cadillac Pathway,17177.3,379.7,"(44.267508, -85.376802)",Cadillac,Michigan,US,4.27,1.5531496559999998,5.823149655999999,1347.44,0.992,5.87,10.67,777,08/03/19
root='Ride',1449.1470279999999,MountainBikeRide,2019-07-14 19:54:40+00:00,236.2,Cadillac Pathway,17558.8,379.7,"(44.267177, -85.377138)",Cadillac,Michigan,US,4.36,1.549868816,5.909868816,1347.44,0.992,5.96,10.91,775,07/14/19
root='Ride',1448.818944,Ride,2025-04-27 19:52:11+00:00,213.6,WPT — County Line,24941.5,382.0,"(44.217588, -85.408324)",Cadillac,Michigan,US,3.87,1.401574848,5.271574848,1351.05,0.992,5.31,15.5,701,04/27/25
root='Ride',1448.818944,MountainBikeRide,2019-08-07 21:24:29+00:00,243.7,Cadillac Pathway,17545.4,379.7,"(44.267889, -85.377279)",Cadillac,Michigan,US,4.36,1.599081416,5.959081416,1347.28,0.992,6.01,10.9,800,08/07/19
root='Ride',1448.4908599999999,MountainBikeRide,2023-05-15 20:06:02+00:00,239.3,Cadillac Pathway,17571.1,382.6,"(44.267243, -85.376734)",Cadillac,Michigan,US,4.37,1.570210024,5.940210024000001,1351.87,0.992,5.99,10.92,785,05/15/23
root='Ride',1448.4908599999999,MountainBikeRide,2023-05-18 16:38:32+00:00,424.9,Cadillac Pathway ,37400.1,379.4,"(44.267202, -85.377342)",Cadillac,Michigan,US,9.3,2.7880578320000002,12.088057832,1346.62,0.992,12.19,23.24,1394,05/18/23
root='Ride',1448.4908599999999,MountainBikeRide,2023-05-08 21:25:11+00:00,237.8,Cadillac Pathway,17526.8,382.6,"(44.26729, -85.377464)",Cadillac,Michigan,US,4.36,1.560367504,5.920367504000001,1351.87,0.992,5.97,10.89,780,05/08/23
root='Ride',1448.4908599999999,Ride,2020-04-01 17:12:06+00:00,278.6,County Line + Lake Cadillac,37948.3,372.4,"(44.216092, -85.410549)",Cadillac,Michigan,US,5.89,1.8280840480000002,7.718084048,1335.14,0.992,7.78,23.58,914,04/01/20
root='Ride',1448.162776,MountainBikeRide,2021-05-05 21:13:33+00:00,250.9,Cadillac Pathway,16996.3,382.0,"(44.267174, -85.377541)",Cadillac,Michigan,US,4.22,1.6463255120000002,5.8663255119999995,1350.72,0.992,5.91,10.56,823,05/05/21
root='NordicSki',1448.162776,NordicSki,2021-01-02 18:34:41+00:00,254.7,Cadillac Pathway ,16870.5,382.0,"(44.267521, -85.376794)",Cadillac,Michigan,US,10.48,1.671259896,12.151259896000001,1350.72,0.992,12.25,10.48,836,01/02/21
root='Ride',1447.506608,MountainBikeRide,2020-07-23 21:08:15+00:00,251.5,Cadillac Pathway,17661.7,381.4,"(44.267138, -85.37733)",Cadillac,Michigan,US,4.39,1.65026252,6.04026252,1349.41,0.992,6.09,10.97,825,07/23/20
