type,elev_high,Sport Type,start_date,total_elevation_gain,Activity Name,distance,elev_low,start_latlng,City,State,Country,distance_score,elevation_score,difficulty_score_without_altitude,average_elevation,performance_capacity,Difficulty Score,Distance (miles),Total Elevation Gain (ft),Date
root='AlpineSki',8952.100024,AlpineSki,2025-01-20 16:57:40+00:00,5645.4,Mt. Bachelor -- Day 3,52026.1,1738.2,"(44.002794, -121.678376)",Sunriver,Oregon,US,32.33,18.521654136,50.85165413599999,7327.43,0.907,56.07,32.33,18522,01/20/25
root='AlpineSki',8951.443856,AlpineSki,2025-01-19 16:56:37+00:00,10373.1,Mt. Bachelor -- Day 2,91694.0,1738.3,"(44.002814, -121.678291)",Sunriver,Oregon,US,56.98,34.032481404,91.012481404,7327.26,0.907,100.34,56.98,34032,01/19/25
root='Hike',8866.4701,Hike,2025-07-20 15:30:08+00:00,1557.5,Black Peak,20345.0,1481.7,"(48.514645, -120.734181)",Granite Falls,Washington,US,10.27,10.2198166,20.489816599999997,6863.85,0.907,22.59,12.64,5110,07/20/25
root='Hike',8163.714172000001,Hike,2022-05-29 20:44:12+00:00,373.8,Black Canyon of the Gunnison,5196.9,2344.2,"(38.55479037389159, -107.68676108680665)",Montrose,Colorado,US,2.42,2.452755984,4.872755983999999,7927.33,0.886,5.5,3.23,1226,05/29/22
root='Hike',7884.842772000001,Hike,2024-08-25 16:30:56+00:00,1464.8,Old Snowy + Knife’s Edge,28048.8,1390.3,"(46.464116564020514, -121.51963625103235)",White Salmon,Washington,US,13.07,9.611548864000001,22.681548864,6223.1,0.927,24.47,17.43,4806,08/25/24
root='Hike',7807.743032,Hike,2024-08-17 11:12:17+00:00,1557.4,Enchantments,33534.8,396.2,"(47.52778493799269, -120.8207291085273)",Leavenworth,Washington,US,15.63,10.219160432,25.849160432,4553.81,0.944,27.38,20.84,5110,08/17/24
root='Ride',7683.72728,Ride,2022-06-30 23:55:48+00:00,774.9,Flagstaff,25473.6,1617.8,"(40.008562160655856, -105.25678181089461)",Boulder,Colorado,US,3.96,5.0846458320000005,9.044645832,6495.74,0.927,9.76,15.83,2542,06/30/22
root='Ride',7683.72728,Ride,2022-08-03 01:10:48+00:00,724.1,Flagstaff,22919.8,1617.7,"(40.008390583097935, -105.25620153173804)",Boulder,Colorado,US,3.56,4.751312488000001,8.311312488,6495.57,0.927,8.97,14.24,2376,08/03/22
root='AlpineSki',7656.824392,AlpineSki,2025-02-16 16:36:44+00:00,8902.6,Revelstoke — Day 2,70945.5,521.5,"(50.958539, -118.163442)",Revelstoke,British Columbia,CA,44.08,29.208006184000002,73.288006184,4683.89,0.944,77.64,44.08,29208,02/16/25
root='Ride',7495.407064,Ride,2022-07-13 00:31:22+00:00,628.3,Lookout Mountain,27619.0,1781.2,"(39.731852151453495, -105.20859659649432)",Golden,Colorado,US,4.29,4.122703544,8.412703544,6669.62,0.907,9.28,17.16,2061,07/13/22
root='AlpineSki',7381.561916000001,AlpineSki,2025-02-17 16:35:31+00:00,3143.4,Revelstoke — Day 3,27148.0,522.7,"(50.960536, -118.163541)",Revelstoke,British Columbia,CA,16.87,10.312992456,27.182992456,4548.23,0.944,28.8,16.87,10313,02/17/25
root='Hike',7342.51992,Hike,2024-04-20 18:37:31+00:00,607.2,Skyline Trail — MRNP,7001.3,1653.3,"(46.78603780455887, -121.73634063452482)",Buckley,Washington,US,3.26,3.984252096,7.244252096,6383.37,0.927,7.81,4.35,1992,04/20/24
root='AlpineSki',7311.680023999999,AlpineSki,2025-02-15 16:33:39+00:00,9646.0,Revelstoke — Day 1,75851.2,525.0,"(50.958522, -118.163509)",Revelstoke,British Columbia,CA,47.13,31.646982639999997,78.77698264,4517.06,0.944,83.45,47.13,31647,02/15/25
root='Hike',7301.50942,Hike,2024-10-12 15:09:44+00:00,1001.2,Cutthroat Pass,24029.5,1349.5,"(48.557022, -120.652461)",Granite Falls,Washington,US,12.13,6.5695540160000006,18.699554016,5864.5,0.927,20.17,14.93,3285,10/12/24
root='Hike',7293.30732,Hike,2023-09-24 13:19:10+00:00,817.8,Skyline Trail — MRNP,15641.8,1648.5,"(46.78591785952449, -121.73595204949379)",Buckley,Washington,US,7.29,5.366141904,12.656141904,6350.89,0.927,13.65,9.72,2683,09/24/23
root='Ride',7219.160336,Ride,2022-07-24 23:50:25+00:00,931.4,Sunshine Canyon,41618.3,1610.8,"(40.008379351347685, -105.25624444708228)",Boulder,Colorado,US,6.47,6.111548752,12.581548752,6251.97,0.927,13.57,25.86,3056,07/24/22
root='Hike',7193.2417,Hike,2023-12-13 18:26:34+00:00,621.7,South Kaibob Trial,11309.7,1581.5,"(36.053146, -112.084103)",Grand Canyon,Arizona,US,5.27,4.0793964560000004,9.349396456000001,6190.95,0.927,10.09,7.03,2040,12/13/23
root='Hike',7156.496292000001,Hike,2024-09-21 22:00:54+00:00,378.0,Mount Fremont Lookout,9953.6,1914.5,"(46.91447261720896, -121.64132027886808)",Enumclaw,Washington,US,4.64,2.48031504,7.1203150399999995,6718.83,0.907,7.85,6.18,1240,09/21/24
root='Ride',7146.981856,Ride,2022-06-10 22:37:23+00:00,1052.9,Jamestown + Rowena,56372.0,1610.8,"(40.00830282457173, -105.25622550398111)",Boulder,Colorado,US,8.76,6.908792872000001,15.668792872000001,6215.88,0.927,16.9,35.03,3454,06/10/22
root='Hike',7077.756132,Hike,2022-06-25 19:51:59+00:00,615.9,1st & 2nd Flatirons,6556.0,1711.6,"(40.00068116001785, -105.27994427829981)",Boulder,Colorado,US,3.06,4.041338712,7.101338712,6346.62,0.927,7.66,4.07,2021,06/25/22
root='Run',7068.897864,TrailRun,2022-07-01 21:22:26+00:00,451.7,Green Mountain,8507.2,1722.1,"(40.000188, -105.283082)",Boulder,Colorado,US,4.96,2.963910856,7.923910856,6359.42,0.927,8.55,5.29,1482,07/01/22
root='Ride',7057.08684,Ride,2022-06-04 16:48:46+00:00,921.8,Gunbarrel + Flagstaff Mountain,64445.5,1567.7,"(40.008394438773394, -105.25614051148295)",Boulder,Colorado,US,10.01,6.048556624,16.058556623999998,6100.23,0.927,17.32,40.04,3024,06/04/22
root='Hike',7031.496287999999,Hike,2024-09-20 18:13:55+00:00,690.8,Maple Pass Loop,11800.4,1480.6,"(48.516629403457046, -120.73516421020031)",Granite Falls,Washington,US,5.5,4.532808544,10.032808544,5944.55,0.927,10.82,7.33,2266,09/20/24
root='Hike',7028.215447999999,Hike,2024-07-13 20:26:58+00:00,528.2,Skyline Trail,7736.3,1651.6,"(46.78599363192916, -121.7363432329148)",Buckley,Washington,US,3.61,3.465879376,7.075879376,6223.43,0.927,7.63,4.81,1733,07/13/24
root='AlpineSki',7001.640644,AlpineSki,2025-01-11 16:11:20+00:00,7104.4,Crystal,55770.1,1305.5,"(46.935476, -121.474706)",Enumclaw,Washington,US,34.65,23.308399696000002,57.958399696,5642.39,0.927,62.52,34.65,23308,01/11/25
root='Hike',7001.31256,Hike,2025-06-29 15:26:14+00:00,1505.6,Earl + Bean + Devil’s Head,18578.0,1111.2,"(47.389263, -120.872364)",Cle Elum,Washington,US,9.38,9.879265408,19.259265408,5323.49,0.944,20.4,11.54,4940,06/29/25
root='AlpineSki',6995.735132000001,AlpineSki,2024-12-01 16:41:12+00:00,5840.6,Crystal,47766.9,1332.7,"(46.935498, -121.474657)",Enumclaw,Washington,US,29.68,19.162074104,48.842074104,5684.06,0.927,52.69,29.68,19162,12/01/24
root='AlpineSki',6992.454292,AlpineSki,2025-04-16 16:09:07+00:00,7418.3,Crystal,63823.9,1332.7,"(46.935644, -121.474869)",Enumclaw,Washington,US,39.66,24.338255372,63.998255371999996,5682.41,0.927,69.04,39.66,24338,04/16/25
root='AlpineSki',6991.798124,AlpineSki,2025-04-13 15:36:44+00:00,8110.7,Crystal,69652.8,1332.7,"(46.935554, -121.475271)",Enumclaw,Washington,US,43.28,26.609908988,69.889908988,5682.09,0.927,75.39,43.28,26610,04/13/25
root='Hike',6981.299436,Hike,2022-08-06 15:39:18+00:00,578.1,Royal Arch,6631.6,1715.8,"(40.000722566619515, -105.2820051368326)",Boulder,Colorado,US,3.09,3.7933072080000003,6.883307208,6305.28,0.927,7.43,4.12,1897,08/06/22
root='AlpineSki',6958.005472000001,AlpineSki,2025-03-13 16:13:33+00:00,8297.2,Crystal,63365.2,1332.7,"(46.935475, -121.474854)",Enumclaw,Washington,US,39.37,27.221785648,66.591785648,5665.19,0.927,71.84,39.37,27222,03/13/25
root='Run',6955.708884,Run,2022-06-26 16:54:46+00:00,152.9,May's Point,4464.0,2058.0,"(39.997704830020666, -105.30902663245797)",Boulder,Colorado,US,2.77,1.0032808720000002,3.773280872,6853.84,0.907,4.16,2.77,502,06/26/22
root='AlpineSki',6954.396548,AlpineSki,2025-04-05 15:38:25+00:00,8354.4,Crystal,67030.9,1332.7,"(46.9355, -121.474671)",Enumclaw,Washington,US,41.65,27.409449696,69.059449696,5663.39,0.927,74.5,41.65,27409,04/05/25
root='AlpineSki',6953.412296,AlpineSki,2024-11-29 17:00:57+00:00,4287.1,Crystal,37506.1,1327.3,"(46.935653, -121.474687)",Enumclaw,Washington,US,23.31,14.065289164000001,37.375289164,5654.04,0.927,40.32,23.31,14065,11/29/24
root='AlpineSki',6950.45954,AlpineSki,2025-03-15 15:48:06+00:00,5642.8,Crystal,44378.5,1343.5,"(46.935647, -121.48238)",Enumclaw,Washington,US,27.58,18.513123952,46.093123952,5679.13,0.927,49.72,27.58,18513,03/15/25
root='Hike',6947.834867999999,Hike,2022-07-02 22:07:24+00:00,556.1,Royal Arch,6611.4,1716.9,"(40.000605722889304, -105.28311230242252)",Boulder,Colorado,US,3.08,3.6489502480000002,6.728950248,6290.35,0.927,7.26,4.11,1824,07/02/22
root='AlpineSki',6945.210196,AlpineSki,2025-01-25 16:48:53+00:00,6778.7,Crystal,52783.6,1332.7,"(46.935501, -121.47465)",Enumclaw,Washington,US,32.8,22.239830108,55.039830108,5658.79,0.927,59.37,32.8,22240,01/25/25
root='Ride',6858.924104,Ride,2022-06-17 19:52:03+00:00,536.0,Flagstaff,25564.5,1610.8,"(40.008386224508286, -105.25615618564188)",Boulder,Colorado,US,3.97,3.51706048,7.48706048,6071.85,0.927,8.08,15.89,1759,06/17/22
root='AlpineSki',6854.659012000001,AlpineSki,2025-03-01 16:53:22+00:00,4538.8,Crystal,49808.1,1332.7,"(46.935002, -121.47436)",Enumclaw,Washington,US,30.95,14.891076592000001,45.841076592,5613.52,0.927,49.45,30.95,14891,03/01/25
root='AlpineSki',6849.737752000001,AlpineSki,2025-03-26 16:40:15+00:00,7590.5,Crystal,67788.0,1332.7,"(46.935532, -121.474711)",Enumclaw,Washington,US,42.12,24.903216020000002,67.02321602,5611.06,0.927,72.3,42.12,24903,03/26/25
root='AlpineSki',6837.598644,AlpineSki,2024-12-08 18:18:21+00:00,4729.9,Crystal,39329.8,1328.9,"(46.935364, -121.474688)",Enumclaw,Washington,US,24.44,15.518045116,39.958045116,5598.75,0.927,43.1,24.44,15518,12/08/24
root='AlpineSki',6799.868984,AlpineSki,2024-11-24 18:06:36+00:00,3187.5,Crystal,29050.4,1338.6,"(46.935397, -121.474756)",Enumclaw,Washington,US,18.05,10.4576775,28.5076775,5595.8,0.927,30.75,18.05,10458,11/24/24
root='Ride',6792.97922,MountainBikeRide,2022-07-08 00:29:25+00:00,474.0,Heil Ranch,24064.7,1738.9,"(40.135094, -105.297895)",Lyons,Colorado,US,5.98,3.11023632,9.09023632,6249.02,0.927,9.81,14.95,1555,07/08/22
root='Hike',6618.766616,Hike,2022-06-01 01:27:53+00:00,90.6,Rifle Falls State Park,3998.4,1959.6,"(39.67393571510911, -107.69977080635726)",Silt,Colorado,US,1.86,0.594488208,2.454488208,6523.95,0.907,2.71,2.48,297,06/01/22
root='Ride',6586.942468,MountainBikeRide,2022-06-29 00:39:01+00:00,616.5,Super Betasso,34066.3,1610.8,"(40.008315, -105.256233)",Boulder,Colorado,US,8.47,4.04527572,12.515275720000002,5935.86,0.927,13.5,21.17,2023,06/29/22
root='Ride',6586.942468,MountainBikeRide,2022-07-29 19:26:49+00:00,245.7,Betasso Preserve,10881.8,1882.4,"(40.015687, -105.34431)",Boulder,Colorado,US,2.7,1.6122047759999998,4.312204776,6381.4,0.927,4.65,6.76,806,07/29/22
root='Run',6570.538268,TrailRun,2024-08-31 21:10:04+00:00,1565.5,Spray Park Loop,29694.6,749.6,"(46.936278, -121.875699)",Buckley,Washington,US,16.14,10.27231004,26.41231004,4514.93,0.944,27.98,18.45,5136,08/31/24
root='Ride',6545.2758,MountainBikeRide,2022-08-12 19:41:02+00:00,336.2,North Table Mountain,14946.9,1718.0,"(39.779615, -105.185009)",Applewood,Colorado,US,3.72,2.2060368159999997,5.926036816,6090.88,0.927,6.39,9.29,1103,08/12/22
root='Hike',6523.95034,Hike,2022-05-28 18:32:54+00:00,287.8,Garden of the Gods,12119.9,1903.8,"(38.87622772715986, -104.87022620625794)",Manitou Springs,Colorado,US,5.65,1.888451504,7.538451504,6385.01,0.927,8.13,7.53,944,05/28/22
root='Ride',6466.53564,GravelRide,2022-06-18 20:13:39+00:00,367.1,Seven Hills,21606.8,1610.8,"(40.008396, -105.25621)",Boulder,Colorado,US,4.48,2.4087927280000003,6.888792728,5875.66,0.927,7.43,13.43,1204,06/18/22
root='AlpineSki',6415.026452,AlpineSki,2025-02-09 17:16:59+00:00,6467.6,Schweitzer -- Day 2,53895.9,1220.1,"(48.363602, -116.613048)",Ponderay,Idaho,US,33.49,21.219160784,54.709160784000005,5208.99,0.944,57.95,33.49,21219,02/09/25
root='AlpineSki',6402.887344,AlpineSki,2025-02-08 16:49:41+00:00,7948.5,Schweitzer -- Day 1,66025.5,1220.1,"(48.367948, -116.622739)",Ponderay,Idaho,US,41.03,26.07775674,67.10775674,5202.92,0.944,71.09,41.03,26078,02/08/25
root='Hike',6350.721988,Hike,2022-06-26 18:21:04+00:00,287.2,Anemone Loop & Red Rocks,7457.7,1693.7,"(40.021682269871235, -105.30026888474822)",Boulder,Colorado,US,3.48,1.884514496,5.364514496,5953.74,0.927,5.79,4.63,942,06/26/22
root='Hike',6296.588128,Hike,2022-05-31 17:10:47+00:00,368.8,Canyonlands National Park,11198.2,1729.6,"(38.38914653286338, -109.86813370138407)",Moab,Utah,US,5.22,2.419947584,7.639947584,5985.56,0.927,8.24,6.96,1210,05/31/22
root='Ride',6229.658992,MountainBikeRide,2022-06-05 18:30:31+00:00,484.4,Marshall Mesa,38632.9,1683.4,"(39.952706, -105.230957)",Superior,Colorado,US,9.6,3.178477792,12.778477792,5876.31,0.927,13.78,24.01,1589,06/05/22
root='Hike',6172.572376,Hike,2024-07-27 16:48:34+00:00,965.6,Hannegan Peak + Copper Creek - Day 1,17858.4,929.2,"(48.91061447560787, -121.59735887311399)",Agassiz,British Columbia,CA,8.32,6.335958208,14.655958208000001,4610.56,0.944,15.53,11.1,3168,07/27/24
root='Hike',6084.31778,Hike,2025-07-12 14:52:44+00:00,799.7,Cascade Pass + Sahale Arm,16697.9,1081.4,"(48.474809, -121.076394)",Darrington,Washington,US,7.78,5.247375496000001,13.027375496000001,4816.11,0.944,13.8,10.38,2624,07/12/25
root='Hike',5998.359772,Hike,2024-08-03 16:09:56+00:00,336.8,Skyline Trail,6945.9,1596.6,"(46.784585136920214, -121.74160849303007)",Buckley,Washington,US,3.24,2.209973824,5.449973824000001,5618.27,0.927,5.88,4.32,1105,08/03/24
root='Ride',5972.441136,Ride,2022-07-30 13:14:03+00:00,306.3,Valmont,31291.5,1574.2,"(40.00838555395603, -105.25621234439313)",Boulder,Colorado,US,4.86,2.009842584,6.869842584000001,5568.57,0.927,7.41,19.44,1005,07/30/22
root='Hike',5951.115676,Hike,2024-07-04 17:20:05+00:00,997.9,Trap Pass,17929.2,973.1,"(47.71269366145134, -121.10751156695187)",Leavenworth,Washington,US,9.06,6.547900471999999,15.607900472,4571.85,0.944,16.53,11.14,3274,07/04/24
root='Hike',5939.304652,Hike,2024-09-18 16:13:37+00:00,1276.3,Trappers Peak + Thornton Lake,18768.8,766.3,"(48.653332041576505, -121.3254976272583)",Darrington,Washington,US,8.75,8.374672184,17.124672183999998,4226.71,0.959,17.86,11.66,4187,09/18/24
root='Ride',5840.879452,Ride,2022-06-16 00:54:36+00:00,404.4,Gunbarrel,40851.2,1567.7,"(40.00836158171296, -105.2563021145761)",Boulder,Colorado,US,6.35,2.653543392,9.003543392,5492.13,0.944,9.54,25.38,1327,06/16/22
root='Ride',5814.304648,Ride,2022-06-19 13:56:08+00:00,740.5,Lyons + Loveland,100324.0,1526.7,"(40.22355898283422, -105.26822512038052)",Lyons,Colorado,US,15.58,4.85892404,20.43892404,5411.58,0.944,21.65,62.34,2429,06/19/22
root='Ride',5673.556611999999,Ride,2022-06-08 01:15:36+00:00,188.5,Superior,26601.2,1582.6,"(40.008364766836166, -105.25625660084188)",Boulder,Colorado,US,4.13,1.2368766800000002,5.36687668,5432.91,0.944,5.69,16.53,618,06/08/22
root='Hike',5647.96606,Hike,2024-07-20 22:28:56+00:00,815.6,Colchuck Lake,16416.6,1021.8,"(47.5306217931211, -120.81743627786636)",Leavenworth,Washington,US,7.65,5.351706208,13.001706208000002,4500.16,0.944,13.77,10.2,2676,07/20/24
root='Ride',5608.59598,Ride,2022-08-10 01:12:42+00:00,196.9,Louisville,27423.7,1603.6,"(40.00837407074869, -105.25616188533604)",Boulder,Colorado,US,4.26,1.291994792,5.5519947919999995,5434.88,0.944,5.88,17.04,646,08/10/22
root='Hike',5599.737712,Hike,2024-07-21 18:48:06+00:00,1136.6,Granite Mountain,13752.2,570.0,"(47.39720972254872, -121.48413587361574)",Tanner,Washington,US,6.41,7.4580054879999995,13.868005488,3734.91,0.959,14.46,8.55,3729,07/21/24
root='Ride',5539.0421719999995,Ride,2024-05-12 18:41:36+00:00,1591.9,Washington Pass,92946.1,537.5,"(48.72755027376115, -121.06277282349765)",Darrington,Washington,US,14.44,10.445538392000001,24.885538392,3651.25,0.959,25.95,57.75,5223,05/12/24
root='AlpineSki',5508.53036,AlpineSki,2025-01-23 18:48:12+00:00,6216.7,Alpental,39852.7,958.7,"(47.446319, -121.428408)",Tanner,Washington,US,24.76,20.395998027999998,45.155998028,4326.94,0.959,47.09,24.76,20396,01/23/25
root='AlpineSki',5504.9214360000005,AlpineSki,2025-01-12 17:11:30+00:00,4030.8,Alpental,25813.2,957.0,"(47.447269, -121.430865)",Tanner,Washington,US,16.04,13.224409872,29.264409872,4322.34,0.959,30.52,16.04,13224,01/12/25
root='AlpineSki',5504.593352,AlpineSki,2025-02-20 17:10:55+00:00,6504.6,Alpental,39744.2,958.8,"(47.446471, -121.428793)",Tanner,Washington,US,24.7,21.340551864000002,46.040551864,4325.13,0.959,48.01,24.7,21341,02/20/25
root='AlpineSki',5503.6091,AlpineSki,2025-03-22 16:06:15+00:00,3598.1,Summit West + Alpental,26776.3,913.6,"(47.424686, -121.417048)",Tanner,Washington,US,16.64,11.804790404,28.444790404000003,4250.49,0.959,29.66,16.64,11805,03/22/25
root='Hike',5473.425372,Hike,2022-05-30 15:42:19+00:00,206.5,Colorado National Monument,7121.9,1523.0,"(39.03194555081427, -108.63106336444616)",Redlands,Colorado,US,3.32,1.35498692,4.67498692,5235.07,0.944,4.95,4.43,677,05/30/22
root='Hike',5450.131408,Hike,2023-10-01 14:04:15+00:00,962.6,Kendall Katwalk - PCT,24631.2,917.1,"(47.428120505064726, -121.41361967660487)",Tanner,Washington,US,11.48,6.3162731679999995,17.796273168,4229.49,0.959,18.56,15.31,3158,10/01/23
