Activity Name,Sport Type,start_latlng,elev_high,distance,type,total_elevation_gain,elev_low,start_date,City,State,Country,distance_score,elevation_score,difficulty_score_without_altitude,average_elevation,performance_capacity,Difficulty Score,Distance (miles),Total Elevation Gain (ft),Date
Winter Park — Day 1,AlpineSki,"(39.885982, -105.762939)",11987.533192,94002.7,root='AlpineSki',8620.5,2766.3,2025-03-30 14:25:56+00:00,Fraser,Colorado,US,58.41,28.28,86.69,10531.66,0.809,107.16,58.41,28282,03/30/25
Afternoon Run,Run,"(47.663914, -122.30655)",236.54856399999997,3320.9,root='Run',36.0,52.7,2025-03-28 22:34:46+00:00,Seattle,Washington,US,2.06,0.24,2.3,204.72,1.0,2.3,2.06,118,03/28/25
Crystal,AlpineSki,"(46.935532, -121.474711)",6849.737752000001,67788.0,root='AlpineSki',7590.5,1332.7,2025-03-26 16:40:15+00:00,Enumclaw,Washington,US,42.12,24.9,67.02,5611.06,0.927,72.3,42.12,24903,03/26/25
Mercer Island,Ride,"(47.66395, -122.306384)",227.034128,50159.5,root='Ride',513.7,7.0,2025-03-25 17:53:45+00:00,Seattle,Washington,US,7.79,3.37,11.16,125.0,1.0,11.16,31.17,1685,03/25/25
Cherry Creek Falls,TrailRun,"(47.745656, -121.908125)",467.847784,8337.0,root='Run',214.7,91.2,2025-03-24 22:45:57+00:00,Lake Marcel-Stillwater,Washington,US,5.18,1.41,6.59,383.53,1.0,6.59,5.18,704,03/24/25
Afternoon Run,Run,"(47.66388, -122.306661)",226.049876,5566.4,root='Run',73.8,24.0,2025-03-23 22:22:33+00:00,Seattle,Washington,US,3.46,0.48,3.94,152.4,1.0,3.94,3.46,242,03/23/25
Summit West + Alpental,AlpineSki,"(47.424686, -121.417048)",5503.6091,26776.3,root='AlpineSki',3598.1,913.6,2025-03-22 16:06:15+00:00,Tanner,Washington,US,16.64,11.8,28.44,4250.49,0.959,29.66,16.64,11805,03/22/25
Afternoon Run,Run,"(47.663873, -122.306595)",214.23885199999998,7965.4,root='Run',69.6,5.4,2025-03-19 22:05:28+00:00,Seattle,Washington,US,4.95,0.46,5.41,115.98,1.0,5.41,4.95,228,03/19/25
Summit Central,AlpineSki,"(47.400571, -121.406966)",3886.8111480000002,54853.4,root='AlpineSki',6275.3,855.2,2025-03-17 15:58:57+00:00,Tanner,Washington,US,34.08,20.59,54.67,3346.29,0.972,56.24,34.08,20588,03/17/25
Crystal,AlpineSki,"(46.935647, -121.48238)",6950.45954,44378.5,root='AlpineSki',5642.8,1343.5,2025-03-15 15:48:06+00:00,Enumclaw,Washington,US,27.58,18.51,46.09,5679.13,0.927,49.72,27.58,18513,03/15/25
Crystal,AlpineSki,"(46.935475, -121.474854)",6958.005472000001,63365.2,root='AlpineSki',8297.2,1332.7,2025-03-13 16:13:33+00:00,Enumclaw,Washington,US,39.37,27.22,66.59,5665.19,0.927,71.83,39.37,27222,03/13/25
Steamboat — Day 3,AlpineSki,"(40.458286, -106.803208)",10555.118448,58320.1,root='AlpineSki',6341.9,2104.4,2025-03-10 14:56:29+00:00,Steamboat Springs,Colorado,US,36.24,20.81,57.05,8729.66,0.863,66.11,36.24,20807,03/10/25
Steamboat — Day 2,AlpineSki,"(40.457113, -106.804585)",10530.840232,55282.1,root='AlpineSki',6116.4,2101.3,2025-03-09 16:22:39+00:00,Steamboat Springs,Colorado,US,34.35,20.07,54.42,8712.43,0.863,63.06,34.35,20067,03/09/25
Steamboat — Day 1,AlpineSki,"(40.457821, -106.805413)",10552.165692,65615.1,root='AlpineSki',7294.6,2099.8,2025-03-08 15:42:18+00:00,Steamboat Springs,Colorado,US,40.77,23.93,64.7,8720.64,0.863,74.97,40.77,23932,03/08/25
Crystal,AlpineSki,"(46.935002, -121.47436)",6854.659012000001,49808.1,root='AlpineSki',4538.8,1332.7,2025-03-01 16:53:22+00:00,Enumclaw,Washington,US,30.95,14.89,45.84,5613.52,0.927,49.45,30.95,14891,03/01/25
Burke-Gilman,Ride,"(47.664069, -122.306505)",213.2546,34152.1,root='Ride',108.3,7.6,2025-02-27 23:09:22+00:00,Seattle,Washington,US,5.31,0.71,6.02,119.09,1.0,6.02,21.22,355,02/27/25
Alpental,AlpineSki,"(47.446471, -121.428793)",5504.593352,39744.2,root='AlpineSki',6504.6,958.8,2025-02-20 17:10:55+00:00,Tanner,Washington,US,24.7,21.34,46.04,4325.13,0.959,48.01,24.7,21341,02/20/25
Revelstoke — Day 3,AlpineSki,"(50.960536, -118.163541)",7381.561916000001,27148.0,root='AlpineSki',3143.4,522.7,2025-02-17 16:35:31+00:00,Revelstoke,British Columbia,CA,16.87,10.31,27.18,4548.23,0.944,28.79,16.87,10313,02/17/25
Revelstoke — Day 2,AlpineSki,"(50.958539, -118.163442)",7656.824392,70945.5,root='AlpineSki',8902.6,521.5,2025-02-16 16:36:44+00:00,Revelstoke,British Columbia,CA,44.08,29.21,73.28999999999999,4683.89,0.944,77.64,44.08,29208,02/16/25
Revelstoke — Day 1,AlpineSki,"(50.958522, -118.163509)",7311.680023999999,75851.2,root='AlpineSki',9646.0,525.0,2025-02-15 16:33:39+00:00,Revelstoke,British Columbia,CA,47.13,31.65,78.78,4517.06,0.944,83.45,47.13,31647,02/15/25
Schweitzer -- Day 2,AlpineSki,"(48.363602, -116.613048)",6415.026452,53895.9,root='AlpineSki',6467.6,1220.1,2025-02-09 17:16:59+00:00,Ponderay,Idaho,US,33.49,21.22,54.71,5208.99,0.944,57.96,33.49,21219,02/09/25
Schweitzer -- Day 1,AlpineSki,"(48.367948, -116.622739)",6402.887344,66025.5,root='AlpineSki',7948.5,1220.1,2025-02-08 16:49:41+00:00,Ponderay,Idaho,US,41.03,26.08,67.11,5202.92,0.944,71.09,41.03,26078,02/08/25
Crystal,AlpineSki,"(46.935501, -121.47465)",6945.210196,52783.6,root='AlpineSki',6778.7,1332.7,2025-01-25 16:48:53+00:00,Enumclaw,Washington,US,32.8,22.24,55.03999999999999,5658.79,0.927,59.37,32.8,22240,01/25/25
Alpental,AlpineSki,"(47.446319, -121.428408)",5508.53036,39852.7,root='AlpineSki',6216.7,958.7,2025-01-23 18:48:12+00:00,Tanner,Washington,US,24.76,20.4,45.16,4326.94,0.959,47.09,24.76,20396,01/23/25
Mt. Bachelor -- Day 3,AlpineSki,"(44.002794, -121.678376)",8952.100024,52026.1,root='AlpineSki',5645.4,1738.2,2025-01-20 16:57:40+00:00,Sunriver,Oregon,US,32.33,18.52,50.849999999999994,7327.43,0.907,56.06,32.33,18522,01/20/25
Mt. Bachelor -- Day 2,AlpineSki,"(44.002814, -121.678291)",8951.443856,91694.0,root='AlpineSki',10373.1,1738.3,2025-01-19 16:56:37+00:00,Sunriver,Oregon,US,56.98,34.03,91.00999999999999,7327.26,0.907,100.34,56.98,34032,01/19/25
Mt. Bachelor -- Day 1,AlpineSki,"(44.002837, -121.67834)",8953.740444,52483.5,root='AlpineSki',5871.8,1738.3,2025-01-18 16:42:55+00:00,Sunriver,Oregon,US,32.61,19.26,51.870000000000005,7328.41,0.907,57.19,32.61,19264,01/18/25
Alpental,AlpineSki,"(47.447269, -121.430865)",5504.9214360000005,25813.2,root='AlpineSki',4030.8,957.0,2025-01-12 17:11:30+00:00,Tanner,Washington,US,16.04,13.22,29.259999999999998,4322.34,0.959,30.51,16.04,13224,01/12/25
Crystal,AlpineSki,"(46.935476, -121.474706)",7001.640644,55770.1,root='AlpineSki',7104.4,1305.5,2025-01-11 16:11:20+00:00,Enumclaw,Washington,US,34.65,23.31,57.959999999999994,5642.39,0.927,62.52,34.65,23308,01/11/25
Novi,Run,"(42.465159, -83.437447)",893.372732,11348.4,root='Run',55.7,254.3,2024-12-31 13:49:50+00:00,Novi,Michigan,US,7.05,0.37,7.42,863.85,0.992,7.48,7.05,183,12/31/24
Afternoon Run,Run,"(42.465124, -83.437489)",873.6876920000001,5863.9,root='Run',19.3,258.0,2024-12-30 18:04:53+00:00,Novi,Michigan,US,3.64,0.13,3.77,860.07,0.992,3.8,3.64,63,12/30/24
Boyne,AlpineSki,"(45.164133, -84.93161)",1152.559092,59187.2,root='AlpineSki',4334.0,218.5,2024-12-26 14:30:53+00:00,Boyne City,Michigan,US,36.78,14.22,51.0,934.71,0.992,51.41,36.78,14219,12/26/24
Heritage Trail,NordicSki,"(44.245553, -85.446292)",1293.307128,5302.8,root='NordicSki',0.0,392.2,2024-12-25 18:17:36+00:00,Cadillac,Michigan,US,3.3,0.0,3.3,1290.03,0.992,3.33,3.3,0,12/25/24
Heritage Trail,NordicSki,"(44.245655, -85.446306)",1293.307128,5039.6,root='NordicSki',0.0,392.1,2024-12-24 19:35:21+00:00,Cadillac,Michigan,US,3.13,0.0,3.13,1289.86,0.992,3.16,3.13,0,12/24/24
Caberfae,AlpineSki,"(44.244645, -85.719794)",1530.839944,25696.4,root='AlpineSki',2101.5,358.3,2024-12-24 15:06:24+00:00,Cadillac,Michigan,US,15.97,6.89,22.86,1353.18,0.992,23.04,15.97,6895,12/24/24
Heritage Trail,Hike,"(44.239161, -85.45463)",1296.916052,4679.1,root='Hike',7.6,392.2,2024-12-23 20:50:29+00:00,Cadillac,Michigan,US,2.91,0.05,2.96,1291.83,0.992,2.98,2.91,25,12/23/24
Caberfae,AlpineSki,"(44.244645, -85.720337)",1495.406872,28335.2,root='AlpineSki',1799.5,358.4,2024-12-19 16:09:59+00:00,Cadillac,Michigan,US,17.61,5.9,23.509999999999998,1335.63,0.992,23.7,17.61,5904,12/19/24
The Highlands,AlpineSki,"(45.469025, -84.935662)",1293.307128,55746.4,root='AlpineSki',4264.5,235.7,2024-12-17 15:21:13+00:00,Harbor Springs,Michigan,US,34.64,13.99,48.63,1033.3,0.992,49.02,34.64,13991,12/17/24
Crystal,AlpineSki,"(46.935364, -121.474688)",6837.598644,39329.8,root='AlpineSki',4729.9,1328.9,2024-12-08 18:18:21+00:00,Enumclaw,Washington,US,24.44,15.52,39.96,5598.75,0.927,43.11,24.44,15518,12/08/24
Afternoon Run,Run,"(47.663882, -122.306596)",243.438328,10288.5,root='Run',56.3,50.5,2024-12-07 23:34:17+00:00,Seattle,Washington,US,6.39,0.37,6.76,204.56,1.0,6.76,6.39,185,12/07/24
Crystal,AlpineSki,"(46.935498, -121.474657)",6995.735132000001,47766.9,root='AlpineSki',5840.6,1332.7,2024-12-01 16:41:12+00:00,Enumclaw,Washington,US,29.68,19.16,48.84,5684.06,0.927,52.69,29.68,19162,12/01/24
Crystal,AlpineSki,"(46.935653, -121.474687)",6953.412296,37506.1,root='AlpineSki',4287.1,1327.3,2024-11-29 17:00:57+00:00,Enumclaw,Washington,US,23.31,14.07,37.379999999999995,5654.04,0.927,40.32,23.31,14065,11/29/24
Crystal,AlpineSki,"(46.935397, -121.474756)",6799.868984,29050.4,root='AlpineSki',3187.5,1338.6,2024-11-24 18:06:36+00:00,Enumclaw,Washington,US,18.05,10.46,28.51,5595.8,0.927,30.76,18.05,10458,11/24/24
Evening Run,Run,"(47.663864, -122.306598)",226.706044,4699.8,root='Run',58.8,28.2,2024-11-24 03:08:39+00:00,Seattle,Washington,US,2.92,0.39,3.31,159.61,1.0,3.31,2.92,193,11/24/24
Morning Run,Run,"(47.663858, -122.306682)",243.438328,11907.1,root='Run',42.6,52.7,2024-11-17 17:19:27+00:00,Seattle,Washington,US,7.4,0.28,7.680000000000001,208.17,1.0,7.68,7.4,140,11/17/24
Afternoon Run,Run,"(47.663856, -122.306675)",213.91076800000002,10394.2,root='Run',112.5,5.4,2024-11-10 23:33:59+00:00,Seattle,Washington,US,6.46,0.74,7.2,115.81,1.0,7.2,6.46,369,11/10/24
Snow Lake,Hike,"(47.444469, -121.423284)",4399.934523999999,13445.1,root='Hike',629.4,947.7,2024-11-07 17:05:44+00:00,Tanner,Washington,US,8.35,4.13,12.48,3754.59,0.959,13.01,8.35,2065,11/07/24
Oyster Dome Loop,TrailRun,"(48.608306, -122.433506)",2213.5827480000003,24335.7,root='Run',1118.0,37.9,2024-11-03 17:27:16+00:00,Geneva,Washington,US,15.12,7.34,22.46,1168.96,0.992,22.64,15.12,3668,11/03/24
Evening Run,Run,"(47.663856, -122.306675)",213.91076800000002,7595.0,root='Run',71.7,8.6,2024-11-03 00:20:54+00:00,Seattle,Washington,US,4.72,0.47,5.1899999999999995,121.06,1.0,5.19,4.72,235,11/03/24
Lake Union,Run,"(47.66388743184507, -122.30672109872103)",228.01838,13743.3,root='Run',80.5,6.4,2024-10-26 17:21:11+00:00,Seattle,Washington,US,8.54,0.53,9.069999999999999,124.51,1.0,9.07,8.54,264,10/26/24
Mount Storm King,Hike,"(48.058194033801556, -123.78772065974772)",2702.427908,9359.9,root='Hike',710.1,177.9,2024-10-20 16:33:23+00:00,Sooke,British Columbia,CA,6.4,4.66,11.06,1643.04,0.983,11.25,5.82,2330,10/20/24
Morning Hike,Hike,"(47.921361308544874, -124.6379979327321)",23.622048,1153.9,root='Hike',2.4,4.5,2024-10-20 14:59:27+00:00,Forks,Washington,US,0.72,0.02,0.74,19.19,1.0,0.74,0.72,8,10/20/24
Afternoon Hike,Hike,"(47.85980813205242, -123.93437295220792)",652.230992,4128.3,root='Hike',35.3,177.5,2024-10-19 19:16:29+00:00,Forks,Washington,US,2.57,0.23,2.8,617.29,0.992,2.82,2.57,116,10/19/24
Afternoon Run,Run,"(47.66386387869716, -122.30670106597245)",306.430456,7447.9,root='Run',76.5,52.8,2024-10-16 23:50:50+00:00,Seattle,Washington,US,4.63,0.5,5.13,239.83,1.0,5.13,4.63,251,10/16/24
Chilly Hilly - Bainbridge Island,Ride,"(47.66381769441068, -122.3066361900419)",311.02363199999996,77737.5,root='Ride',1011.9,1.4,2024-10-13 15:23:21+00:00,Seattle,Washington,US,12.08,6.64,18.72,157.81,1.0,18.72,48.3,3320,10/13/24
Cutthroat Pass,Hike,"(48.557022, -120.652461)",7301.50942,24029.5,root='Hike',1001.2,1349.5,2024-10-12 15:09:44+00:00,Granite Falls,Washington,US,14.93,6.57,21.5,5864.5,0.927,23.19,14.93,3285,10/12/24
Afternoon Run,Run,"(47.663873014971614, -122.30668631382287)",213.91076800000002,2967.7,root='Run',17.8,45.8,2024-10-12 00:43:36+00:00,Seattle,Washington,US,1.84,0.12,1.96,182.09,1.0,1.96,1.84,58,10/12/24
Evening Run,Run,"(47.66411013901234, -122.30639998801053)",243.438328,10261.8,root='Run',56.5,50.7,2024-10-07 01:14:58+00:00,Seattle,Washington,US,6.38,0.37,6.75,204.89,1.0,6.75,6.38,185,10/07/24
Lake Sammamish,Ride,"(47.66395540907979, -122.30640929192305)",469.488204,79174.6,root='Ride',666.0,5.9,2024-10-05 15:33:12+00:00,Seattle,Washington,US,12.3,4.37,16.67,244.42,1.0,16.67,49.2,2185,10/05/24
Evening Run,Run,"(47.66387812793255, -122.30667650699615)",214.23885199999998,5396.5,root='Run',35.5,11.4,2024-10-05 01:40:17+00:00,Seattle,Washington,US,3.35,0.23,3.58,125.82,1.0,3.58,3.35,116,10/05/24
Afternoon Run,Run,"(47.663940489292145, -122.30640552006662)",214.23885199999998,3236.4,root='Run',19.6,29.8,2024-09-30 22:37:41+00:00,Seattle,Washington,US,2.01,0.13,2.1399999999999997,156.0,1.0,2.14,2.01,64,09/30/24
Icicle Gorge,Hike,"(47.60841800831258, -120.8942124992609)",2776.5748919999996,6830.5,root='Hike',73.1,804.5,2024-09-28 21:10:16+00:00,Leavenworth,Washington,US,4.24,0.48,4.720000000000001,2708.01,0.972,4.86,4.24,240,09/28/24
Afternoon Run,Run,"(47.663974268361926, -122.3065497726202)",238.18898399999998,6572.4,root='Run',98.6,24.3,2024-09-26 21:03:13+00:00,Seattle,Washington,US,4.08,0.65,4.73,158.96,1.0,4.73,4.08,323,09/26/24
Mercer Island,Ride,"(47.66393344849348, -122.30645581148565)",227.362212,48808.0,root='Ride',501.1,7.3,2024-09-24 21:48:59+00:00,Seattle,Washington,US,7.58,3.29,10.870000000000001,125.66,1.0,10.87,30.33,1644,09/24/24
Paradise + Stevens Canyon,Ride,"(46.740067759528756, -121.90666182897985)",5421.5881,92266.0,root='Ride',1773.6,616.4,2024-09-23 16:45:24+00:00,Eatonville,Washington,US,14.33,11.64,25.97,3721.95,0.959,27.08,57.33,5819,09/23/24
Morning Run,Run,"(47.66386781819165, -122.30670056305826)",243.438328,10433.1,root='Run',56.6,50.7,2024-09-22 14:53:42+00:00,Seattle,Washington,US,6.48,0.37,6.8500000000000005,204.89,1.0,6.85,6.48,186,09/22/24
Mount Fremont Lookout,Hike,"(46.91447261720896, -121.64132027886808)",7156.496292000001,9953.6,root='Hike',378.0,1914.5,2024-09-21 22:00:54+00:00,Enumclaw,Washington,US,6.18,2.48,8.66,6718.83,0.907,9.55,6.18,1240,09/21/24
Maple Pass Loop,Hike,"(48.516629403457046, -120.73516421020031)",7031.496287999999,11800.4,root='Hike',690.8,1480.6,2024-09-20 18:13:55+00:00,Granite Falls,Washington,US,7.33,4.53,11.86,5944.55,0.927,12.79,7.33,2266,09/20/24
Green Lake,Ride,"(47.663929760456085, -122.3064982239157)",243.438328,30478.6,root='Ride',56.2,52.3,2024-09-19 22:45:06+00:00,Seattle,Washington,US,4.73,0.37,5.1000000000000005,207.51,1.0,5.1,18.94,184,09/19/24
Trappers Peak + Thornton Lake,Hike,"(48.653332041576505, -121.3254976272583)",5939.304652,18768.8,root='Hike',1276.3,766.3,2024-09-18 16:13:37+00:00,Darrington,Washington,US,11.66,8.37,20.03,4226.71,0.959,20.89,11.66,4187,09/18/24
Yakima Canyon,Ride,"(46.92479828372598, -120.5094063654542)",1509.514484,84795.3,root='Ride',600.5,346.8,2024-09-17 17:54:33+00:00,Ellensburg,Washington,US,13.17,3.94,17.11,1323.65,0.992,17.25,52.69,1970,09/17/24
Afternoon Run,Run,"(41.92910629324615, -87.64964721165597)",602.362224,3561.5,root='Run',4.9,178.6,2024-09-16 20:31:29+00:00,Chicago,Illinois,US,2.21,0.03,2.2399999999999998,594.16,0.992,2.26,2.21,16,09/16/24
20 w/ Soph,Run,"(41.92917242646217, -87.64981057494879)",613.51708,32430.7,root='Run',42.2,177.0,2024-09-15 13:37:20+00:00,Chicago,Illinois,US,20.15,0.28,20.43,597.11,0.992,20.59,20.15,138,09/15/24
Evening Run,Run,"(41.93065476603806, -87.65009388327599)",600.39372,6631.9,root='Run',6.2,177.9,2024-09-13 23:24:53+00:00,Chicago,Illinois,US,4.12,0.04,4.16,592.03,0.992,4.19,4.12,20,09/13/24
Chicago Lakefront Path,Run,"(41.92908047698438, -87.6496546715498)",605.971148,11973.0,root='Run',9.7,177.6,2024-09-12 15:22:49+00:00,Chicago,Illinois,US,7.44,0.06,7.5,594.32,0.992,7.56,7.44,32,09/12/24
Chicago Lakefront Path,Run,"(41.92926689051092, -87.64976221136749)",622.3753479999999,20464.9,root='Run',34.0,177.6,2024-09-10 14:30:21+00:00,Chicago,Illinois,US,12.72,0.22,12.940000000000001,602.53,0.992,13.04,12.72,112,09/10/24
Morning Run,Run,"(41.929144179448485, -87.64965215697885)",602.03414,5126.5,root='Run',9.0,177.9,2024-09-09 14:58:39+00:00,Chicago,Illinois,US,3.19,0.06,3.25,592.85,0.992,3.28,3.19,30,09/09/24
Scio Church,Run,"(42.23928742110729, -83.88125066645443)",998.687696,10796.8,root='Run',52.2,274.7,2024-09-08 13:39:17+00:00,Dexter,Michigan,US,6.71,0.34,7.05,949.97,0.992,7.11,6.71,171,09/08/24
Lake Cadillac,Run,"(44.233364732936025, -85.41685245931149)",1317.913428,11353.6,root='Run',11.5,392.4,2024-09-06 11:29:37+00:00,Cadillac,Michigan,US,7.05,0.08,7.13,1302.66,0.992,7.19,7.05,38,09/06/24
The Dragon,MountainBikeRide,"(43.503083, -85.587991)",932.7428120000001,64646.8,root='Ride',451.8,249.4,2024-09-05 12:36:38+00:00,Howard City,Michigan,US,16.07,2.96,19.03,875.49,0.992,19.18,40.17,1482,09/05/24
Cadillac Pathway,MountainBikeRide,"(44.28282265551388, -85.33510208129883)",1447.1785240000002,23446.8,root='Ride',232.1,379.4,2024-09-04 17:05:12+00:00,Cadillac,Michigan,US,5.83,1.52,7.35,1345.96,0.992,7.41,14.57,761,09/04/24
VASA,MountainBikeRide,"(44.701992, -85.483458)",979.0026559999999,34762.9,root='Ride',373.0,241.1,2024-09-03 14:05:28+00:00,Kingsley,Michigan,US,8.64,2.45,11.09,885.01,0.992,11.18,21.6,1224,09/03/24
Spray Park Loop,TrailRun,"(46.936278, -121.875699)",6570.538268,29694.6,root='Run',1565.5,749.6,2024-08-31 21:10:04+00:00,Buckley,Washington,US,18.45,10.27,28.72,4514.93,0.944,30.42,18.45,5136,08/31/24
Bellevue,Ride,"(47.66390419565141, -122.30663174763322)",233.923892,37517.7,root='Ride',482.6,7.3,2024-08-30 23:39:44+00:00,Seattle,Washington,US,5.83,3.17,9.0,128.94,1.0,9.0,23.31,1583,08/30/24
North Lake Washington,Ride,"(47.663956582546234, -122.30652898550034)",461.28610399999997,43374.0,root='Ride',360.9,6.9,2024-08-29 01:41:35+00:00,Seattle,Washington,US,6.74,2.37,9.11,241.96,1.0,9.11,26.95,1184,08/29/24
Lake Union,Run,"(47.6639633718878, -122.30700398795307)",225.721792,13163.0,root='Run',78.5,6.4,2024-08-28 01:36:21+00:00,Seattle,Washington,US,8.18,0.52,8.7,123.36,1.0,8.7,8.18,258,08/28/24
Evening Run,Run,"(47.663977621123195, -122.30652856640518)",213.91076800000002,3406.0,root='Run',25.9,48.7,2024-08-27 02:16:25+00:00,Seattle,Washington,US,2.12,0.17,2.29,186.84,1.0,2.29,2.12,85,08/27/24
Old Snowy + Knife’s Edge,Hike,"(46.464116564020514, -121.51963625103235)",7884.842772000001,28048.8,root='Hike',1464.8,1390.3,2024-08-25 16:30:56+00:00,White Salmon,Washington,US,17.43,9.61,27.04,6223.1,0.927,29.17,17.43,4806,08/25/24
Green Lake,Ride,"(47.66394853591919, -122.30646737851202)",242.125992,26127.1,root='Ride',54.0,52.7,2024-08-25 00:55:42+00:00,Seattle,Washington,US,4.06,0.35,4.409999999999999,207.51,1.0,4.41,16.23,177,08/25/24
Evening Run,Run,"(47.66399354673922, -122.30647902935743)",231.29922,3362.4,root='Run',44.3,25.6,2024-08-23 02:08:54+00:00,Seattle,Washington,US,2.09,0.29,2.38,157.64,1.0,2.38,2.09,145,08/23/24
Green Lake,Ride,"(47.66399145126343, -122.30656997300684)",242.125992,20910.5,root='Ride',53.9,52.7,2024-08-22 02:52:17+00:00,Seattle,Washington,US,3.25,0.35,3.6,207.51,1.0,3.6,12.99,177,08/22/24
Evening Run,Run,"(47.67044501379132, -122.30655312538147)",242.125992,7330.9,root='Run',53.8,50.7,2024-08-21 01:34:30+00:00,Seattle,Washington,US,4.56,0.35,4.909999999999999,204.23,1.0,4.91,4.56,177,08/21/24
Evening Run,Run,"(47.65771994367242, -122.30473349802196)",214.23885199999998,5289.5,root='Run',66.8,28.3,2024-08-20 03:24:42+00:00,Seattle,Washington,US,3.29,0.44,3.73,153.54,1.0,3.73,3.29,219,08/20/24
Enchantments,Hike,"(47.52778493799269, -120.8207291085273)",7807.743032,33534.8,root='Hike',1557.4,396.2,2024-08-17 11:12:17+00:00,Leavenworth,Washington,US,20.84,10.22,31.060000000000002,4553.81,0.944,32.9,20.84,5110,08/17/24
North Lake Washington,Ride,"(47.663858179003, -122.30666980147362)",461.28610399999997,43474.2,root='Ride',360.0,6.9,2024-08-16 02:26:45+00:00,Seattle,Washington,US,6.75,2.36,9.11,241.96,1.0,9.11,27.01,1181,08/16/24
Night Run,Run,"(47.664015255868435, -122.30652462691069)",243.438328,9837.0,root='Run',48.6,50.7,2024-08-15 03:56:20+00:00,Seattle,Washington,US,6.11,0.32,6.430000000000001,204.89,1.0,6.43,6.11,159,08/15/24
Green Lake,Ride,"(47.663961024954915, -122.30656293220818)",242.125992,26082.3,root='Ride',53.9,52.7,2024-08-13 02:51:21+00:00,Seattle,Washington,US,4.05,0.35,4.3999999999999995,207.51,1.0,4.4,16.21,177,08/13/24
Obliteride 2024,Ride,"(47.663885252550244, -122.30647014454007)",642.060388,164016.0,root='Ride',1624.4,5.9,2024-08-10 12:58:51+00:00,Seattle,Washington,US,25.48,10.66,36.14,330.71,1.0,36.14,101.91,5329,08/10/24
Commute,Ride,"(47.645845552906394, -122.33466887846589)",225.721792,4957.3,root='Ride',57.7,10.8,2024-08-10 03:01:04+00:00,Seattle,Washington,US,0.77,0.38,1.15,130.58,1.0,1.15,3.08,189,08/10/24
Commute,Ride,"(47.663855915889144, -122.30667600408196)",216.53544,3928.1,root='Ride',6.3,11.1,2024-08-10 00:28:55+00:00,Seattle,Washington,US,0.61,0.04,0.65,126.48,1.0,0.65,2.44,21,08/10/24
Lake Washington,Ride,"(47.66385122202337, -122.30667248368263)",461.28610399999997,78406.7,root='Ride',553.0,6.9,2024-08-08 01:13:24+00:00,Seattle,Washington,US,12.18,3.63,15.809999999999999,241.96,1.0,15.81,48.72,1814,08/08/24
Evening Run,Run,"(47.66428909264505, -122.30656368657947)",243.438328,9834.2,root='Run',49.3,50.7,2024-08-06 03:03:33+00:00,Seattle,Washington,US,6.11,0.32,6.430000000000001,204.89,1.0,6.43,6.11,162,08/06/24
Middle Fork,Ride,"(47.5713256560266, -121.8881612084806)",1084.973788,79320.8,root='Ride',535.5,27.7,2024-08-04 18:02:38+00:00,Fall City,Washington,US,12.32,3.51,15.83,587.93,0.992,15.96,49.29,1757,08/04/24
Skyline Trail,Hike,"(46.784585136920214, -121.74160849303007)",5998.359772,6945.9,root='Hike',336.8,1596.6,2024-08-03 16:09:56+00:00,Buckley,Washington,US,4.32,2.21,6.53,5618.27,0.927,7.04,4.32,1105,08/03/24
Green Lake,Ride,"(47.663989355787635, -122.30659729801118)",242.125992,26037.4,root='Ride',60.6,52.7,2024-08-03 02:44:01+00:00,Seattle,Washington,US,4.04,0.4,4.44,207.51,1.0,4.44,16.18,199,08/03/24
Evening Run,Run,"(47.66391190700233, -122.30644952505827)",243.438328,7172.1,root='Run',22.3,50.8,2024-08-02 03:04:45+00:00,Seattle,Washington,US,4.46,0.15,4.61,205.05,1.0,4.61,4.46,73,08/02/24
Mercer Island,Ride,"(47.66401751898229, -122.30635296553373)",227.362212,49228.9,root='Ride',486.7,7.3,2024-07-31 02:01:17+00:00,Seattle,Washington,US,7.65,3.19,10.84,125.66,1.0,10.84,30.59,1597,07/31/24
Copper Creek - Day 2,Hike,"(48.87991709634662, -121.48918035440147)",5073.81906,12893.3,root='Hike',628.9,932.3,2024-07-28 14:56:55+00:00,Agassiz,British Columbia,CA,8.81,4.54,13.350000000000001,4066.27,0.959,13.92,8.01,2063,07/28/24
Hannegan Peak + Copper Creek - Day 1,Hike,"(48.91061447560787, -121.59735887311399)",6172.572376,17858.4,root='Hike',965.6,929.2,2024-07-27 16:48:34+00:00,Agassiz,British Columbia,CA,11.93,6.81,18.74,4610.56,0.944,19.85,11.1,3168,07/27/24
Evening Run,Run,"(47.663921378552914, -122.30651314370334)",225.721792,3240.2,root='Run',33.8,34.5,2024-07-27 01:25:22+00:00,Seattle,Washington,US,2.01,0.22,2.23,169.46,1.0,2.23,2.01,111,07/27/24
North Lake Washington,Ride,"(47.66394602134824, -122.30657651089132)",461.28610399999997,45924.7,root='Ride',360.7,6.9,2024-07-26 02:17:58+00:00,Seattle,Washington,US,7.13,2.37,9.5,241.96,1.0,9.5,28.54,1183,07/26/24
Evening Run,Run,"(47.66502544283867, -122.30642287060618)",243.438328,5959.3,root='Run',23.1,52.7,2024-07-25 03:05:56+00:00,Seattle,Washington,US,3.7,0.15,3.85,208.17,1.0,3.85,3.7,76,07/25/24
